Source,Destination,Weight
C0221423,C0235318,1.0
C0221423,C0558148,1.0
C0221423,C0241050,1.0
C0221423,C1768507,1.0
C0221423,C0578451,1.0
C0221423,C0026838,1.0
C0221423,C0751409,1.0
C0221423,C0239375,1.0
C0221423,C0152165,1.0
C0221423,C0522251,1.0
C0221423,C0476288,1.0
C0221423,C0858722,1.0
C0221423,C0234657,1.0
C0221423,C0241727,1.0
C0221423,C0241042,1.0
C0221423,C0241237,1.0
C0221423,C0751190,1.0
C0011991,C0009806,38.0
C0011991,C3714552,9.0
C0011991,C0018681,13.0
C0011991,C0401149,1.0
C0011991,C0015230,8.0
C0011991,C0030193,58.0
C0011991,C0033774,7.0
C0011991,C0231617,1.0
C0011991,C0085624,6.0
C0011991,C0677500,1.0
C0011991,C0000737,14.0
C0011991,C0027497,45.0
C0011991,C1446787,12.0
C0011991,C0497406,1.0
C0011991,C0596601,14.0
C0011991,C0242429,6.0
C0011991,C0024031,3.0
C0011991,C0234233,9.0
C0011991,C0683369,4.0
C0011991,C0012833,9.0
C0011991,C0026821,11.0
C0011991,C0455270,5.0
C0011991,C0557875,20.0
C0011991,C0015672,14.0
C0011991,C1291077,24.0
C0011991,C0231528,5.0
C0011991,C0010200,3.0
C0011991,C0849850,1.0
C0011991,C1443924,2.0
C0011991,C0235309,10.0
C0011991,C0344375,11.0
C0011991,C0392171,3.0
C0011991,C1260880,1.0
C0011991,C0231218,10.0
C0011991,C1321898,6.0
C0011991,C0863105,1.0
C0011991,C0018834,6.0
C0011991,C1321587,1.0
C0011991,C0008031,1.0
C0011991,C0600142,1.0
C0011991,C0013404,3.0
C0011991,C0234238,10.0
C0011991,C0027769,5.0
C0011991,C0042963,24.0
C0011991,C0392674,10.0
C0011991,C0020175,3.0
C0011991,C0221512,22.0
C0011991,C1579931,4.0
C0011991,C0917801,2.0
C0011991,C0039070,4.0
C0011991,C0016204,3.0
C0011991,C0000729,2.0
C0011991,C0016382,1.0
C0011991,C0748706,4.0
C0011991,C0151908,1.0
C0011991,C2242996,2.0
C0011991,C0577573,1.0
C0011991,C0023380,1.0
C0011991,C0312414,1.0
C0011991,C0013395,1.0
C0011991,C0278007,1.0
C0011991,C0278145,3.0
C0011991,C2129214,5.0
C0011991,C0040822,7.0
C0011991,C0518214,2.0
C0011991,C0151315,1.0
C0011991,C0232292,3.0
C0011991,C0085593,7.0
C0011991,C0014724,4.0
C0011991,C0003862,5.0
C0011991,C0741585,1.0
C0011991,C0036572,4.0
C0011991,C0027424,2.0
C0011991,C0004604,6.0
C0011991,C0042571,4.0
C0011991,C0549299,1.0
C0011991,C0857027,3.0
C0011991,C0847554,2.0
C0011991,C0278144,2.0
C0011991,C0235129,1.0
C0011991,C0812426,1.0
C0011991,C0851121,2.0
C0011991,C0221170,1.0
C0011991,C0220870,3.0
C0011991,C0541976,2.0
C0011991,C0007859,1.0
C0011991,C0234230,2.0
C0011991,C0848283,1.0
C0011991,C0028643,1.0
C0011991,C1517205,1.0
C0011991,C0028081,1.0
C0011991,C0849970,1.0
C0011991,C0221100,2.0
C0011991,C0427008,2.0
C0011991,C0425481,1.0
C0011991,C0849959,1.0
C0011991,C0581358,1.0
C0011991,C0150055,3.0
C0011991,C0425449,1.0
C0011991,C0232492,2.0
C0011991,C0314719,1.0
C0011991,C0232602,1.0
C0011991,C0087169,2.0
C0011991,C0019559,1.0
C0011991,C0476289,1.0
C0011991,C0085631,1.0
C0011991,C0751295,2.0
C0011991,C0036396,1.0
C0011991,C0023222,2.0
C0011991,C0344232,1.0
C0011991,C0234369,2.0
C0011991,C0235004,3.0
C0011991,C0542476,1.0
C0011991,C0033775,1.0
C0011991,C0575090,1.0
C0011991,C0426636,1.0
C0011991,C0848633,1.0
C0011991,C0235267,2.0
C0011991,C0474585,1.0
C0011991,C0423571,1.0
C0011991,C0013456,1.0
C0011991,C0235150,2.0
C0011991,C0850149,1.0
C0011991,C0240941,1.0
C0011991,C0032781,1.0
C0011991,C1096446,1.0
C0011991,C0520962,3.0
C0011991,C0238552,1.0
C0011991,C1282310,1.0
C0011991,C0946092,1.0
C0011991,C0239724,1.0
C0011991,C0236083,1.0
C0011991,C0017672,1.0
C0011991,C0034642,1.0
C0011991,C0235318,1.0
C0011991,C0857199,1.0
C0011991,C0476288,1.0
C0011991,C0234657,1.0
C0011991,C2029681,1.0
C0011991,C2220244,1.0
C0011991,C0239886,1.0
C0011991,C0740425,2.0
C0009806,C3714552,6.0
C0009806,C0018681,15.0
C0009806,C0401149,4.0
C0009806,C0015230,4.0
C0009806,C0030193,65.0
C0009806,C0033774,9.0
C0009806,C0231617,1.0
C0009806,C1442877,1.0
C0009806,C0085624,5.0
C0009806,C0677500,1.0
C0009806,C0000737,10.0
C0009806,C0027497,25.0
C0009806,C1446787,8.0
C0009806,C0497406,1.0
C0009806,C0596601,13.0
C0009806,C0242429,2.0
C0009806,C0024031,2.0
C0009806,C0234233,5.0
C0009806,C0683369,2.0
C0009806,C0012833,10.0
C0009806,C0026821,12.0
C0009806,C0455270,2.0
C0009806,C0557875,14.0
C0009806,C0015672,6.0
C0009806,C1291077,29.0
C0009806,C0231528,3.0
C0009806,C0010200,2.0
C0009806,C0849850,2.0
C0009806,C1443924,3.0
C0009806,C0235309,4.0
C0009806,C0344375,3.0
C0009806,C0231218,10.0
C0009806,C1321898,4.0
C0009806,C0018834,6.0
C0009806,C1321587,3.0
C0009806,C0008031,3.0
C0009806,C0600142,2.0
C0009806,C0037763,5.0
C0009806,C0013404,2.0
C0009806,C0234238,4.0
C0009806,C0563277,1.0
C0009806,C0232495,1.0
C0009806,C0027769,2.0
C0009806,C0042963,9.0
C0009806,C0392674,5.0
C0009806,C0221512,9.0
C0009806,C1579931,5.0
C0009806,C0917801,7.0
C0009806,C0039070,3.0
C0009806,C0000729,1.0
C0009806,C0016382,2.0
C0009806,C0748706,1.0
C0009806,C2242996,2.0
C0009806,C0577573,3.0
C0009806,C0023380,2.0
C0009806,C0013395,1.0
C0009806,C0278145,4.0
C0009806,C2129214,3.0
C0009806,C0040822,3.0
C0009806,C0518214,2.0
C0009806,C0232292,1.0
C0009806,C0085593,1.0
C0009806,C0037088,1.0
C0009806,C0014724,4.0
C0009806,C0003862,3.0
C0009806,C0741585,1.0
C0009806,C0036572,4.0
C0009806,C0850045,2.0
C0009806,C0027424,3.0
C0009806,C0152149,1.0
C0009806,C0004604,4.0
C0009806,C0549299,1.0
C0009806,C0857027,1.0
C0009806,C0278144,2.0
C0009806,C0034886,1.0
C0009806,C0812426,1.0
C0009806,C0851121,2.0
C0009806,C0558489,1.0
C0009806,C0013428,1.0
C0009806,C0278141,1.0
C0009806,C0007859,1.0
C0009806,C0232431,1.0
C0009806,C0278148,1.0
C0009806,C0234230,4.0
C0009806,C0184567,1.0
C0009806,C0028643,1.0
C0009806,C0848290,2.0
C0009806,C0740396,1.0
C0009806,C0232517,2.0
C0009806,C0242030,1.0
C0009806,C0009193,1.0
C0009806,C0425481,1.0
C0009806,C0581358,1.0
C0009806,C0150055,4.0
C0009806,C0232492,1.0
C0009806,C0028084,2.0
C0009806,C0426623,1.0
C0009806,C0087169,1.0
C0009806,C0476289,1.0
C0009806,C0085631,1.0
C0009806,C0036396,1.0
C0009806,C0848404,2.0
C0009806,C0236000,1.0
C0009806,C0344232,1.0
C0009806,C0564823,1.0
C0009806,C0151786,1.0
C0009806,C0232471,2.0
C0009806,C0426636,1.0
C0009806,C0235150,1.0
C0009806,C4042866,1.0
C0009806,C0392176,1.0
C0009806,C0455770,1.0
C0009806,C0235290,1.0
C0009806,C0948094,1.0
C0009806,C0232721,1.0
C0009806,C0520962,1.0
C0009806,C0238552,1.0
C0009806,C0232491,1.0
C0009806,C0946092,1.0
C0009806,C0239724,1.0
C0009806,C0497293,1.0
C0009806,C0848338,1.0
C0009806,C0860277,1.0
C3714552,C0018681,36.0
C3714552,C0401149,1.0
C3714552,C0015230,6.0
C3714552,C0030193,71.0
C3714552,C0033774,7.0
C3714552,C0231617,3.0
C3714552,C0085624,11.0
C3714552,C0677500,4.0
C3714552,C0000737,3.0
C3714552,C0027497,22.0
C3714552,C1446787,1.0
C3714552,C2957106,5.0
C3714552,C0497406,3.0
C3714552,C0596601,4.0
C3714552,C0242429,2.0
C3714552,C0024031,3.0
C3714552,C0234233,15.0
C3714552,C0683369,8.0
C3714552,C0012833,25.0
C3714552,C0026821,12.0
C3714552,C0455270,4.0
C3714552,C0557875,37.0
C3714552,C0015672,30.0
C3714552,C1291077,9.0
C3714552,C0231528,9.0
C3714552,C0010200,5.0
C3714552,C1443924,1.0
C3714552,C0235309,1.0
C3714552,C0344375,1.0
C3714552,C0392171,3.0
C3714552,C0231218,18.0
C3714552,C1321898,1.0
C3714552,C0039591,1.0
C3714552,C0018834,2.0
C3714552,C0278139,1.0
C3714552,C1321587,2.0
C3714552,C0008031,6.0
C3714552,C0600142,2.0
C3714552,C0037763,3.0
C3714552,C0795691,8.0
C3714552,C0037011,4.0
C3714552,C0541828,1.0
C3714552,C0236082,1.0
C3714552,C0013404,10.0
C3714552,C0234238,5.0
C3714552,C0027769,3.0
C3714552,C0042963,17.0
C3714552,C1579838,1.0
C3714552,C0392674,11.0
C3714552,C0020175,5.0
C3714552,C0221512,6.0
C3714552,C0917801,7.0
C3714552,C0235108,2.0
C3714552,C0039070,10.0
C3714552,C0302539,4.0
C3714552,C0016204,2.0
C3714552,C0016382,6.0
C3714552,C0748706,2.0
C3714552,C0151908,1.0
C3714552,C2242996,8.0
C3714552,C0577573,2.0
C3714552,C0023380,2.0
C3714552,C0559687,1.0
C3714552,C0312414,1.0
C3714552,C0278007,1.0
C3714552,C0278145,1.0
C3714552,C2129214,1.0
C3714552,C0040822,12.0
C3714552,C0751372,2.0
C3714552,C0231217,2.0
C3714552,C0518214,4.0
C3714552,C0151315,2.0
C3714552,C0232292,1.0
C3714552,C0085593,9.0
C3714552,C0037088,2.0
C3714552,C0014724,2.0
C3714552,C0003862,9.0
C3714552,C0741585,4.0
C3714552,C0036572,7.0
C3714552,C0850045,1.0
C3714552,C0027424,3.0
C3714552,C0004604,12.0
C3714552,C0042571,10.0
C3714552,C0281856,1.0
C3714552,C0857027,2.0
C3714552,C0847554,1.0
C3714552,C0278144,1.0
C3714552,C0235129,2.0
C3714552,C0221170,9.0
C3714552,C0558489,2.0
C3714552,C0235239,1.0
C3714552,C0220870,8.0
C3714552,C0278141,2.0
C3714552,C0007859,6.0
C3714552,C0232431,3.0
C3714552,C0278148,1.0
C3714552,C0423736,1.0
C3714552,C0848283,1.0
C3714552,C0239377,5.0
C3714552,C0028643,7.0
C3714552,C1517205,1.0
C3714552,C0848290,2.0
C3714552,C0235710,1.0
C3714552,C0232487,1.0
C3714552,C0028081,1.0
C3714552,C0849970,1.0
C3714552,C0231749,1.0
C3714552,C0427008,7.0
C3714552,C0424489,1.0
C3714552,C0849959,1.0
C3714552,C0150055,1.0
C3714552,C0848168,2.0
C3714552,C0425449,1.0
C3714552,C0028084,3.0
C3714552,C0426623,1.0
C3714552,C0235240,2.0
C3714552,C0564820,1.0
C3714552,C0234255,1.0
C3714552,C0232602,1.0
C3714552,C0848332,1.0
C3714552,C0238656,1.0
C3714552,C0085631,1.0
C3714552,C0877716,1.0
C3714552,C0036396,2.0
C3714552,C0023222,3.0
C3714552,C0581870,1.0
C3714552,C0013132,1.0
C3714552,C0240129,1.0
C3714552,C0016512,1.0
C3714552,C0221785,2.0
C3714552,C0233488,1.0
C3714552,C0015644,2.0
C3714552,C0574002,2.0
C3714552,C0236000,1.0
C3714552,C0344232,8.0
C3714552,C0234369,4.0
C3714552,C0026837,1.0
C3714552,C0857072,1.0
C3714552,C0152029,1.0
C3714552,C0564823,3.0
C3714552,C0151786,2.0
C3714552,C1704276,1.0
C3714552,C0849963,1.0
C3714552,C0235004,3.0
C3714552,C0043144,2.0
C3714552,C0858665,1.0
C3714552,C0239649,2.0
C3714552,C0239266,2.0
C3714552,C0423006,1.0
C3714552,C0019079,1.0
C3714552,C0239836,2.0
C3714552,C0278146,1.0
C3714552,C0581879,2.0
C3714552,C0439814,1.0
C3714552,C0239589,4.0
C3714552,C0578454,1.0
C3714552,C0522359,1.0
C3714552,C0232471,2.0
C3714552,C0241705,1.0
C3714552,C0848633,2.0
C3714552,C0235267,1.0
C3714552,C0700590,1.0
C3714552,C0150841,1.0
C3714552,C0474585,1.0
C3714552,C0423571,1.0
C3714552,C0240327,1.0
C3714552,C0032781,1.0
C3714552,C0581881,1.0
C3714552,C0277794,1.0
C3714552,C0151827,3.0
C3714552,C0564821,1.0
C3714552,C3640008,1.0
C3714552,C0239833,1.0
C3714552,C2032418,1.0
C3714552,C1135120,1.0
C3714552,C0178419,1.0
C3714552,C0231710,1.0
C3714552,C0427055,1.0
C3714552,C0234362,1.0
C3714552,C3257980,1.0
C3714552,C0857030,1.0
C3714552,C0549343,1.0
C3714552,C0233844,1.0
C3714552,C0857160,1.0
C3714552,C0221758,2.0
C3714552,C0178310,1.0
C3714552,C0549248,2.0
C3714552,C0241374,1.0
C3714552,C0857031,1.0
C3714552,C0742339,1.0
C3714552,C0030552,2.0
C3714552,C0085635,1.0
C3714552,C0231655,1.0
C3714552,C0231811,1.0
C3714552,C0232854,1.0
C3714552,C0564822,1.0
C3714552,C0877487,1.0
C3714552,C0240564,1.0
C3714552,C0857062,1.0
C3714552,C0234532,1.0
C3714552,C0026838,1.0
C3714552,C0751409,1.0
C3714552,C0234373,1.0
C3714552,C0857516,1.0
C3714552,C0877781,1.0
C3714552,C0241042,1.0
C3714552,C0744648,1.0
C3714552,C0423575,1.0
C3714552,C0241237,1.0
C3714552,C0027066,1.0
C3714552,C0239182,1.0
C0018681,C0401149,2.0
C0018681,C0015230,20.0
C0018681,C0030193,104.0
C0018681,C0033774,18.0
C0018681,C0231617,8.0
C0018681,C0085624,16.0
C0018681,C0000737,4.0
C0018681,C0027497,57.0
C0018681,C1446787,3.0
C0018681,C2957106,12.0
C0018681,C0497406,4.0
C0018681,C0596601,9.0
C0018681,C0242429,19.0
C0018681,C0024031,1.0
C0018681,C0234233,17.0
C0018681,C0683369,18.0
C0018681,C0012833,51.0
C0018681,C0026821,16.0
C0018681,C0455270,4.0
C0018681,C0679309,1.0
C0018681,C0557875,39.0
C0018681,C0015672,45.0
C0018681,C1291077,9.0
C0018681,C0231528,10.0
C0018681,C0010200,18.0
C0018681,C1443924,1.0
C0018681,C0235309,9.0
C0018681,C0392171,3.0
C0018681,C1260880,8.0
C0018681,C0231218,24.0
C0018681,C1321898,1.0
C0018681,C0863105,1.0
C0018681,C0018834,9.0
C0018681,C0278139,1.0
C0018681,C1321587,3.0
C0018681,C0024902,1.0
C0018681,C0438716,1.0
C0018681,C0008031,10.0
C0018681,C0600142,5.0
C0018681,C0037763,11.0
C0018681,C0795691,1.0
C0018681,C0037011,3.0
C0018681,C0013404,12.0
C0018681,C0234238,18.0
C0018681,C0232495,3.0
C0018681,C0027769,8.0
C0018681,C0042963,19.0
C0018681,C0741426,2.0
C0018681,C1579838,1.0
C0018681,C0392674,13.0
C0018681,C0020175,3.0
C0018681,C0221512,9.0
C0018681,C1579931,8.0
C0018681,C0917801,17.0
C0018681,C0235108,2.0
C0018681,C0039070,15.0
C0018681,C0302539,2.0
C0018681,C0016204,1.0
C0018681,C0016382,3.0
C0018681,C0748706,2.0
C0018681,C0151908,1.0
C0018681,C2242996,11.0
C0018681,C0577573,1.0
C0018681,C0023380,7.0
C0018681,C0312414,3.0
C0018681,C0013395,1.0
C0018681,C0278145,2.0
C0018681,C2129214,4.0
C0018681,C0040822,18.0
C0018681,C3257803,3.0
C0018681,C0751372,2.0
C0018681,C0518214,1.0
C0018681,C0151315,4.0
C0018681,C0232292,4.0
C0018681,C0085593,17.0
C0018681,C0037088,7.0
C0018681,C0014724,2.0
C0018681,C0003862,13.0
C0018681,C0741585,11.0
C0018681,C0036572,20.0
C0018681,C0030794,2.0
C0018681,C0850045,1.0
C0018681,C0027424,4.0
C0018681,C0152149,1.0
C0018681,C0857057,2.0
C0018681,C0004604,18.0
C0018681,C0042571,6.0
C0018681,C0549299,1.0
C0018681,C0281856,1.0
C0018681,C0857027,2.0
C0018681,C0847554,1.0
C0018681,C0278144,1.0
C0018681,C0034886,1.0
C0018681,C0235129,1.0
C0018681,C0812426,1.0
C0018681,C0851121,1.0
C0018681,C0221170,5.0
C0018681,C0235239,1.0
C0018681,C0220870,8.0
C0018681,C0278141,1.0
C0018681,C0007859,18.0
C0018681,C0232431,3.0
C0018681,C0278148,3.0
C0018681,C0234230,1.0
C0018681,C0239377,3.0
C0018681,C0028643,6.0
C0018681,C1517205,1.0
C0018681,C0848290,3.0
C0018681,C0948396,1.0
C0018681,C0235710,1.0
C0018681,C0239667,1.0
C0018681,C0235162,1.0
C0018681,C0232487,2.0
C0018681,C0028081,8.0
C0018681,C0232517,1.0
C0018681,C0221100,1.0
C0018681,C0231749,1.0
C0018681,C0427008,3.0
C0018681,C0312422,1.0
C0018681,C0849959,3.0
C0018681,C0150055,2.0
C0018681,C0848168,1.0
C0018681,C0028084,3.0
C0018681,C1397014,1.0
C0018681,C0314719,1.0
C0018681,C0235240,2.0
C0018681,C0850630,3.0
C0018681,C0564820,2.0
C0018681,C0234255,1.0
C0018681,C0423729,1.0
C0018681,C0027498,1.0
C0018681,C0086132,3.0
C0018681,C0087169,4.0
C0018681,C0019559,2.0
C0018681,C0848241,1.0
C0018681,C0221232,1.0
C0018681,C0476289,2.0
C0018681,C0085631,8.0
C0018681,C0877716,1.0
C0018681,C0751295,4.0
C0018681,C0036396,1.0
C0018681,C0023218,1.0
C0018681,C0023222,5.0
C0018681,C0151825,2.0
C0018681,C0233763,1.0
C0018681,C0016512,2.0
C0018681,C0221785,1.0
C0018681,C0162298,1.0
C0018681,C0015644,1.0
C0018681,C0574002,1.0
C0018681,C0040460,3.0
C0018681,C0236000,2.0
C0018681,C0344232,10.0
C0018681,C0085632,1.0
C0018681,C0234369,3.0
C0018681,C0026837,1.0
C0018681,C2016599,1.0
C0018681,C0015468,2.0
C0018681,C0746668,1.0
C0018681,C0149738,1.0
C0018681,C0564823,2.0
C0018681,C0581880,1.0
C0018681,C0151786,2.0
C0018681,C0563275,1.0
C0018681,C2116289,1.0
C0018681,C0240382,1.0
C0018681,C0026961,1.0
C0018681,C0235004,8.0
C0018681,C0542476,5.0
C0018681,C0043144,2.0
C0018681,C0858665,1.0
C0018681,C0085636,5.0
C0018681,C0239836,1.0
C0018681,C0278146,2.0
C0018681,C0575090,1.0
C0018681,C0581879,1.0
C0018681,C0751559,2.0
C0018681,C0270996,2.0
C0018681,C0232471,4.0
C0018681,C0009269,1.0
C0018681,C0848633,2.0
C0018681,C0235267,3.0
C0018681,C0578687,2.0
C0018681,C0700590,1.0
C0018681,C0150841,1.0
C0018681,C0474585,1.0
C0018681,C0423571,1.0
C0018681,C0948596,1.0
C0018681,C0013456,6.0
C0018681,C0235150,3.0
C0018681,C2370950,1.0
C0018681,C0850149,6.0
C0018681,C0085602,2.0
C0018681,C0240941,1.0
C0018681,C0235234,1.0
C0018681,C0032781,1.0
C0018681,C0863081,1.0
C0018681,C0028838,1.0
C0018681,C4042866,2.0
C0018681,C0151827,4.0
C0018681,C0240940,1.0
C0018681,C0239833,1.0
C0018681,C0018520,1.0
C0018681,C0522179,1.0
C0018681,C0235706,1.0
C0018681,C0238973,1.0
C0018681,C0858598,1.0
C0018681,C1096446,1.0
C0018681,C0004317,1.0
C0018681,C0549343,1.0
C0018681,C1282310,1.0
C0018681,C0424572,1.0
C0018681,C0235031,1.0
C0018681,C0595963,1.0
C0018681,C0233844,1.0
C0018681,C0857160,2.0
C0018681,C0423673,1.0
C0018681,C0259813,1.0
C0018681,C0239511,2.0
C0018681,C0221758,1.0
C0018681,C0849640,1.0
C0018681,C0239832,2.0
C0018681,C0521516,1.0
C0018681,C0742339,1.0
C0018681,C0030552,1.0
C0018681,C0085635,1.0
C0018681,C0743229,1.0
C0018681,C0235218,1.0
C0018681,C0549209,1.0
C0018681,C0848717,1.0
C0018681,C0497293,1.0
C0018681,C0857062,1.0
C0018681,C0234532,1.0
C0018681,C0235318,1.0
C0018681,C0240352,2.0
C0018681,C0858583,1.0
C0018681,C0423621,3.0
C0018681,C1705500,1.0
C0018681,C0262397,2.0
C0018681,C0239375,1.0
C0018681,C0520963,1.0
C0018681,C0877781,2.0
C0018681,C0877491,1.0
C0018681,C0877197,2.0
C0018681,C0566948,1.0
C0018681,C2202100,2.0
C0018681,C2029681,1.0
C0018681,C2220244,1.0
C0018681,C0152031,1.0
C0018681,C0740398,1.0
C0018681,C0744648,1.0
C0018681,C0423575,1.0
C0018681,C0740425,2.0
C0018681,C0241237,1.0
C0018681,C0751190,1.0
C0018681,C0221727,1.0
C0401149,C0015230,1.0
C0401149,C0030193,2.0
C0401149,C0033774,1.0
C0401149,C0085624,1.0
C0401149,C0000737,1.0
C0401149,C0012833,1.0
C0401149,C0015672,1.0
C0401149,C1291077,2.0
C0401149,C0849850,1.0
C0401149,C0344375,1.0
C0401149,C0795691,1.0
C0401149,C0392674,1.0
C0401149,C0040822,1.0
C0401149,C3257803,1.0
C0401149,C0003862,1.0
C0401149,C0036572,1.0
C0401149,C0426623,1.0
C0401149,C0085602,1.0
C0401149,C0235234,1.0
C0401149,C0032781,1.0
C0401149,C0948094,1.0
C0401149,C0520963,1.0
C0015230,C0030193,61.0
C0015230,C0033774,91.0
C0015230,C0231617,6.0
C0015230,C1442877,5.0
C0015230,C0085624,26.0
C0015230,C0677500,3.0
C0015230,C0000737,4.0
C0015230,C0027497,7.0
C0015230,C1446787,1.0
C0015230,C2957106,3.0
C0015230,C0497406,1.0
C0015230,C0596601,2.0
C0015230,C0242429,17.0
C0015230,C0234233,27.0
C0015230,C0683369,8.0
