disease,postLink,postHeading,postContent,postTags
Asthma,https://messageboards.webmd.com/health-conditions/f/asthma/83570/problems-breathing,Problems breathing,"i've never been diagnosed with asthma or breathing issues. but i do have difficulties breathing and catching my breath sometimes and some coughing. sometimes i can't catch my breath because the stairs feel like i was climbing a mountain. sometimes it feels like someone is sitting on my chest and that i can't fully breathe. i was an cigarette smoker for years but i quit over a year ago. asthma and COPD also runs in my family. i have a doctors appointment in a few weeks. i've had breathing issues for awhile been never had it checked. i don't want my doctor to tell me there's nothing wrong and do nothing for me, when i am having issues. i would like to know what questions i should ask them and what they could possibly do for me to ensure that i get proper help with this. thank you.","Treatment , Diagnosis"
Asthma,https://messageboards.webmd.com/health-conditions/f/asthma/88181/does-cold-air-help-someone-with-asthma,Does cold air help someone with asthma?,Knew a girl that would put her head in the freezer if she didn't have her inhaler. Does this really help?,Diagnosis
Asthma,https://messageboards.webmd.com/health-conditions/f/asthma/78296/grand-daughter-woke-up-in-the-night-having-problems-breathing,Grand daughter woke up in the night.having problems breathing!,My 11 year old grand daughter woke up with heavy chest.strugling to breath.she didn't have a fever wasn't coughing.but was crying saying she couldn't breath.could she have astma.it runs in our family?,Diagnosis
Osteoporosis,https://messageboards.webmd.com/health-conditions/f/osteoporosis/83669/hyperparathyroidism-not-mentioned-as-cause-of-osteoporosis,hyperparathyroidism not mentioned as cause of osteoporosis,"In your recent article and slide show on osteoporosis, you failed to mention hyperparathyroid disease that is a readily surgically correctable, fairly common cause of early onset osteoporosis. More common in women than men, the diagnosis can be made with thorough office clinical evaluation along with blood tests including serum calcium and parathyroid hormone (PTH) and possibly others.",
Asthma,https://messageboards.webmd.com/health-conditions/f/asthma/70814/another-do-i-have-asthma---spirometry-result-is-bad-have-allergies-but-no-wheezing-or-coughing,"Another 'do I have asthma?' - spirometry result is bad, have allergies, but no wheezing or coughing","33 y/o female ex smoker. I took the spirometry test for four times and all showed I have breathing issues. I also have dust mite allergy and get nasal congestion/stuffy nose pretty frequently. I took a blood test too, I'm not anemic. My chest x-ray and heart test were fine. I never cough, have no wheezing. But I do have shortness of breath though that gets worse sometimes. Chest tightness as well. It doesn't get worse because I move around.  My doctor is confused too. She says her 'guess' is I don't have (allergic) asthma but that she can't be sure with my allergy and spirometry result. I don't know what to do at this point. I don't want to use an inhaler if I don't need to and without the right diagnosis, I won't get the right treatment. I will go back there a month later. Do you think I have asthma? Should I ask for another test I didn't take yet? See a ENT?","Diagnosis , Tests"
Osteoporosis,https://messageboards.webmd.com/health-conditions/f/osteoporosis/79460/upset-about-the-diagnosis-of-osteoporosis,Upset about the diagnosis of osteoporosis,"I just turned 72. Until last year, my bone density tests revealed osteopenia. Last year for the first time it revealed age related osteoporosis with some bone loss in my left hip...but not in my spine or right hip. My doctor wanted me to start on Boniva, but I decided to wait until my next test, which is coming up this Saturday. I am generally in good physical health. I am thin, exercise regularly and lead an active life style. I have decided that if the next test shows additional bone loss, I will start taking one of the recommended medications. Would like to hear from people who had had experiences with these meds. Thanks.  Lorraine",Bone Density
Lupus,https://messageboards.webmd.com/health-conditions/f/lupus/79881/pseudogout,Pseudogout,"I’m a 61 yr old women that has been experiencing Pseudogout since 2006. It started in my ankles, then my elbows . but I was not diagnose until 2014 when I was referred to a rheumatologist for lupus. I’m currently on hydroxychloroquine, methotrexate , folic acid and levothyroxine . My question is what do you do when you are experiencing an attack. Because at the moment I’m experiencing an attack in my knees more painful in my left side.",
Lupus,https://messageboards.webmd.com/health-conditions/f/lupus/68874/lupus-and-low-immunoglobulin-a-levels-iga,Lupus and low Immunoglobulin A levels (IgA),I was diagnosed with SLE 6 years go and am 23 years old. I also have celiac disease. I recently found out that my IGA (Immunoglobulin A) levels were extremely low. I take 200 mg of Plaquenil 1 x per day and I was wondering if that might be the cause. Has anyone else experienced this? I tried looking online but results were slim. Thanks for your help!,Diagnosis
HIV/AIDS,https://messageboards.webmd.com/health-conditions/f/hiv-aids/86881/is-it-hiv-symptoms,Is it HIV symptoms?,Blood in semen TNTC in urine,
Lupus,https://messageboards.webmd.com/health-conditions/f/lupus/78299/lupus-joint-pain,Lupus joint pain,"Just wondering if anyone else has noticed the joint and muscle pain seems stronger in muscles and joints that we're previously injured.  I have had severe joint pain in parts of my hands that were burnt approximately 20 years ago. Along with pain in several joints that have been sprained, or injured somehow in the past.  The joints on the opposite side of my body will also ache at times but no where near the same severity. I am new to this lupus thing and am still trying to understand my flare ups and symptoms.  Sometimes I am not sure what is caused by lupus and what isn't.",Symptoms
HIV/AIDS,https://messageboards.webmd.com/health-conditions/f/hiv-aids/89016/hiv-risk-from-blood-in-curtain,HIV risk from blood in curtain,"So I went to a hospital to accompany a friend recently. We however need to go to the laboratory to get some results but along the way we have to pass a corridor with a door with a curtain. When I passed there, I noticed some blood stains and spots in the curtain which apparently looked dried to me but I was not very sure but I needed to move away the curtain so we can get through the hallway. I was not sure if my hands touched those blood spots but then after maybe an hour, I was very thirty and need to look for a canned drinks and of course I needed to open the can with my hands and fingers. Suddenly, I was hit with concern if it is possible to get HIV this way if my hands and fingers touched those blood spots and then I touched the lid of the canned drinks and drank through it. I mean my hands could have touched the blood spots then got transferred to the canned drinks and then through my mouth. Is this possible? Im worried if I should get tested. Thank you.",Risk Factors
Lupus,https://messageboards.webmd.com/health-conditions/f/lupus/68788/help-for-photosensitive-lips,Help for photosensitive lips,Please can anyone help me. I need some tips for what to apply to my lips. I have been applying a 50+ lip balm but have ended up with blistered lips which then got infected. So painful. Am on anti biotics and they are clearing up - but I am scared to apply anything now. Was diagnosed with lupus in March and am on 400mg of plaquenil. Does anyone have any advice? I wear a hat when I'm out walking and don't walk during the hottest part of the day. I've considered a mask - Help,
HIV/AIDS,https://messageboards.webmd.com/health-conditions/f/hiv-aids/3098/get-the-facts-on-hiv-transmission,Get The Facts on HIV Transmission,"Hi everyone! There are many posts on our message boards from those with questions about how HIV is transmitted who are worried if they've contracted the virus. When you think you may have been exposed to HIV, it can be a really scary thing to experience. It's important to know that HIV is not spread easily and can only be done so through the exchange of certain bodily fluids from an infected person.  There is tons of information out there on how HIV is transmitted, and sometimes it can be hard to separate fact from fiction. Here are resources that might be able to answer some of your questions about how HIV is transmitted:  1)    2)    After considering these resources, if you still think that you may have contracted the HIV virus, it's important to speak with a medical professional and to get tested at the appropriate time. Here is information on the different tests available and testing times that yield the most conclusive results:  1)    2)","Risk Factors , Possible Exposure , Symptoms , Treatment , Diagnosis , Home Testing Kits"
Diabetes,https://messageboards.webmd.com/health-conditions/f/diabetes/75464/diabetes,Diabetes,"I have been taking my metformin on/off what, how is affecting my body?","Treatments , Type 2 Diabetes , Symptoms"
Diabetes,https://messageboards.webmd.com/health-conditions/f/diabetes/71401/insulin,insulin,"why we have to discard insulin after 28 days, because i ask in pharmacy but they could not answer or did not want to answer me.... and there is a problem the insulin past the 28 days .... thank you and have a great day to all....",Insulin
Diabetes,https://messageboards.webmd.com/health-conditions/f/diabetes/78884/diabetes,Diabetes,What is the borderline suger number?,Type 2 Diabetes
Diabetes,https://messageboards.webmd.com/health-conditions/f/diabetes/68471/t2-info,T2 info,What happens to a person who has type two diabetes if they stop taking their meds,Type 2 Diabetes
Diabetes,https://messageboards.webmd.com/health-conditions/f/diabetes/80033/ceylon-cinnamon,Ceylon Cinnamon,"I am a Type 2 Diabetic and I am also insulin dependent. I have been researching about starting to take Ceylon Cinnamon and I was wondering if anyone knows if it is safe to do this since I also take insulin? Thanks for any help, I appreciate it. JoJo",Type 2 Diabetes
Diabetes,https://messageboards.webmd.com/health-conditions/f/diabetes/76165/rising-blood-sugar,Rising blood sugar,"How come, and this happens often, if I check my blood sugar 2 hours after eating and I check it a few hours later before the next meal, it is considerably higher. And I have not taken in any carbs. Generally just water and perhaps black coffee but mostly just water. This has happened a multitude of times the last few months.",Type 2 Diabetes
Diabetes,https://messageboards.webmd.com/health-conditions/f/diabetes/80695/where-2-wear-pump,Where 2 wear pump....,I am a female & I have a tslim insulin pump but lately im getting tired of my waist pouch! i want to just where it in a pocket or somewhere else... Anyone out there have ANY advice???? Thx! Take care.. Sara M,"Insulin , Living With , Type 1 Diabetes"
Diabetes,https://messageboards.webmd.com/health-conditions/f/diabetes/79900/diabetic-ketoacidosis-and-urine,Diabetic Ketoacidosis and Urine,"If your body is able to eliminate excess ketones from its system by peeing them out, then how do people have such high ketone levels, such that would cause ketoacidosis. Additionally if one (a non- diabetic) were on a ketogenic diet, and took an excessive ammount of exogenous ketones, could they get DKA? Thank you","Insulin , Diet"
Asthma,https://messageboards.webmd.com/health-conditions/f/asthma/68110/asthma-and-panic-attack-triggers,asthma and panic attack triggers,do nhs really know what causes asthma to flare up in public because I don't think they day for example if people had a stroke or eppilpsy and seen something not nice like a police chase in public it could flare up a panic attack and spark a brian chain reaction setting off asthma and epplipsy at the same time iam a social worker at level three and going to university at a older age next year to do my health and social carem ba honure degree at derby university mr martyn bell heanor Derbyshire also doing head practioners course,"Living & Managing , Triggers , Treatment , Diagnosis , Tests"
Asthma,https://messageboards.webmd.com/health-conditions/f/asthma/68824/does-poor-air-quality-can-be-a-problem,Does poor air quality can be a problem ?,"Hi All, My mom was diagnosed with cataract last week. As Doctor suggested me to go ahead with operation at the earliest, so I told mom to go and get yourself admitted to the hospital. The doctor quickly completed the operation and told her to stay at the hospital for a couple of days so he can examine the progress and her health. At that time, I visited her a couple of times, all the time she uses to complain me about an odour with she is irritated. in the first case didn't mind it but she again complains about it. I asked the nurse about so she said there is some smell but we have informed it. The later nurse let me know that it was because of an HVAC repair-    . in the building cause the smell. It was due to happen a week earlier which delayed due to some technical issue. She said its all fixed and they won't be any problem from now. I was wondering in hospitals where a patient with various problems are admitted they should be some concern about the air quality and standard that have to be maintained? How can we assure it? Will poor air quality effect asthma patient and other patients with respiratory problems?",
Asthma,https://messageboards.webmd.com/health-conditions/f/asthma/77929/i-don-t-know-what-to-say,I don't know what to say,Not ready,"Living & Managing , Triggers , Treatment , Diagnosis , Tests"
Asthma,https://messageboards.webmd.com/health-conditions/f/asthma/79056/grateful,grateful,"i was diagnosed with HIV/AIDS for over 6 years which made loose my job and my relationship with my fiance after he discovered that i was having HIV, he departed from me i tried all my best to make him stays with me, but neglected me until a friend of mine on Facebook from spain told me Great healer, who will restore my life back with his powerful healing spell, he sent me the email address to contact and i quickly contacted him, and he said my condition can be solved, that he will treat the disease immediately only if i can accept trust him and accept his terms and condition, i Agreed because i was so much in need of help by all means, so i did all he want from me and surprisingly on Sunday last week He sent me a text, that i should hurry up to the hospital for a checkup, which i truly did, i confirm from my doctor that i am now ( HIV NEGATIVE) my eyes filled with tears and joy, crying heavily because truly the disease deprived me of many things from my life, This is a Miracle, Please do not en-devour to email dr.usmanspellcaster@gmail.com or whatsapp Dr usman on +2348064080208 for healings Thanks","Living & Managing , Triggers , Treatment , Diagnosis , Tests"
Asthma,https://messageboards.webmd.com/health-conditions/f/asthma/62226/trouble-with-breathing,Trouble with Breathing,"i'm a 20 year old female who was a smoker for 5+ years, but now i am almost 1 year cigarette free. i've noticed that i've always had a shortness of breath and hard time breathing. it also sometimes feels like someone is sitting on my chest not allowing me to breathe. i figured because i quit smoking this stuff would improve over the course of a year but it hasn't. my grandmother (ex-smoker) and mother (never a smoker) both have been diagnosed with COPD and asthma. i plan on making a doctor's appointment to get myself checked out. what are your opinions? what questions should i ask my doctor? please and thank you.","Treatment , Diagnosis , Tests"
Asthma,https://messageboards.webmd.com/health-conditions/f/asthma/70550/how-long-to-restore-normal-breathing-after-prolonged-cpap-machine,How long to restore normal breathing after prolonged CPAP machine,My husband snores every night but I got used to it. It started before he became obese and had asthma. But now he finds it difficult to breathe at night. The snores stop all of a sudden and he will be gasping for breath. This happened for some time. We visited the doctor and he recommended to reduce the weight and obesity. Till then doctor suggested a CPAP machine to use for the while. Now its almost one year and he has reduced his weight significantly. He has been using the CPAP machine for almost a year for every day.   He never felt any problem in breathing since he started using the machine. Now is it time to stop using the machine? The doctor suggested to take time and resolve it slowly. I think its time he should start breathing without CPAP. Another thing to notice was since the usage of a machine he hasn't snored or had asthma at night. Will he start snoring again?,"Living & Managing , Triggers , Treatment , Diagnosis , Tests"
Asthma,https://messageboards.webmd.com/health-conditions/f/asthma/68472/do-i-have-asthma,Do I have Asthma,"For the last year I have been really struggling. I’m a 50 year old woman going through the menopause and having weird symptoms such as having feelings of something crawling underneath my skin as well as the usual flushes. I’m taking an antihistamine which helps with the itching and Maca capsules which are a godsend for the sweats. Anyway I have noticed when I exercise and exert myself just slightly I become short of breath, coughing and wheezing... I mentioned it to my doctor who prescribed me an inhaler. I tried to shrug it off and convince myself this is all to do with my reflux as yes i have that too so never used the inhaler. Today after my bicycle ride I had all the symptoms so i decided to give the inhaler a go.. took two puffs and have to be honest did instantly feel a bit better. I also noticed after eating too I get short of breath and cough a bit so I’m really confused  Does this mean I have asthma or is this reflux and after any exercise I’m struggling so should I continue with the inhaler? Any advice would be so gratefully appreciated. Thank You",
Asthma,https://messageboards.webmd.com/health-conditions/f/asthma/954/vaping,Vaping,"I switched over to vaping about 6 months ago and ever since then when I use the vaporizor for about the past 3 months I have chills the next day, inability to get warm and problems breathing. I do think vaping is better for you than smoking but I was wondering if anyone had any idea what would be causing so many issues. I dont know if its the brand I am using or if I have a bigger issue. I go from very hot to very cold and seem to have no control over it, plus I have been having increasing issues breathing. Can anyone help?",Diagnosis
Diabetes,https://messageboards.webmd.com/health-conditions/f/diabetes/74632/important-query-regarding-sugar-test,Important query regarding Sugar Test,"I am non diabetic. Female, age 32, height 5 ft 7"" and weight 58 Kgs. I keep my weight in check with a proper diet. I have a big sweet tooth and eat a lot of sweets. A recent Sugar test had the following results -  GLUCOSE, FASTING, PLASMA - 102  HBA1C- 5.4  MEAN PLASMA GLUCOSE - 108.3  Does this mean I am prone to diabetes? Will I get diabetes soon?","Type 2 Diabetes , Type 1 Diabetes , Symptoms"
Diabetes,https://messageboards.webmd.com/health-conditions/f/diabetes/72953/cost-of-insulin,Cost of insulin,"I got a new job and they said they would have benefits on the first day. Went to go refill my prescription 2 bottles of Lantus and 2 bottles of Humalog and the price was almost $1240, for both prescriptions so about $620 for each one they were pretty close to the same amount and this is a one month supply. So I had to find $1240 to get my prescription and the insurance company would mail me a check for the amount. Why are the prices so high?",Type 1 Diabetes
Diabetes,https://messageboards.webmd.com/health-conditions/f/diabetes/71392/do-i-have-diabetes-curious-about-numbers,Do I have diabetes? Curious about numbers,"Today I was thinking about my health and was curious to see how my blood sugar levels are. So when I was at the store I brought a device with the test strips. I probably did over 20 different samples. I ate a lot of crackers and pretzels around 130-2pm. I started testing around 5 and finished around 530 just to get a string of numbers and to get the hang of it. I’ve never been diagnosed with diabetes or have symptoms but here are my values.  137  130  203  215  100  110  90  112  129  142  118  145  118  129  145  118  46  142  Those are some of the values I started recording. I know the numbers vary a lot. I’ve been trying to get the right amount on the test strip. Sometimes I would flood it, some times I would almost fill the entire little box up, fill it, and not fill the strip all the way. Later on 3 hours after I ate my dinner I tested my sugar again. I got a reading of 97,112,120, and before I went to bed it got a reading of 116. The next morning I woke up and got a reading after not eating for 12 hours a score of 107. Which is above the recommended fasting range of 80-100. So I tested a few more times ten minutes later and scored 112,108,86,99,94, and 92. A few hours later I ate a frozen dinner for breakfast and had my coffee and two hours after eating I tested again and got another series of numbers. I got many numbers in the low 100s, some in the 110-120 range and two in the 130s. I guess that’s in normal range.  I also was looking at my blood test results from my doctor from the past years. Here’s what they had. February 2016 fasting glucose 94 (they put it in as fasting but I know I wasn’t at the time) October 2016 random glucose 79 January 2018 random glucose 86. They were all in normal range but the thing I’m worried about were the higher values I got at home when I first did it and the 107 when I first got up. Should I worry about being diabetic or am I putting too much thought into it. I’m so worried about my health and I can’t help it because I have OCD so I keep on obsessing. Sorry this is so long but I’m just worried about my health. Am I fine or do I have something to worry about?","Insulin , Type 2 Diabetes"
Asthma,https://messageboards.webmd.com/health-conditions/f/asthma/82031/asthma,Asthma,"My name is eve , I have severe eosinophilic asthma and had my first shot of fasenra 1/16/2019 . I then went home and on Thursday was diagnosed with the flu a . Is the shot effective or did it not work because of the flu .",
Diabetes,https://messageboards.webmd.com/health-conditions/f/diabetes/66223/hello-is-anybody-home,Hello?  Is anybody home?,"What happened, here?",
Diabetes,https://messageboards.webmd.com/health-conditions/f/diabetes/69447/diabetes,Diabetes,my father die 17 years ago he had diabetes also my aunt so what are the possibilities of me and my children's get diabetes ? also one of my sons drink a lot of soda that may be increase the chances to get diabetes?,"Treatments , Type 2 Diabetes , Type 1 Diabetes , Symptoms"
Diabetes,https://messageboards.webmd.com/health-conditions/f/diabetes/67463/medical-marijuana-treat-for-person-with-diabetes,Medical marijuana treat for person with diabetes,"My mother has been suffering from Type 2 Diabetics for more than two years. Actually, it has been found out only a year ago as the symptoms of it were mild and we didn’t notice it. Now she has been diagnosed with neuropathy. Doctor said that diabetics might have been the cause for it. She is having the tingling feeling, numbness and sharp shooting pain. We took her for physical therapy, but she didn’t have much benefit from there. She always complains about the pain. One of our relatives suggested us to take medical cannabis in order to reduce the pain. Is it possible for diabetic patients to take medical cannabis? I don’t know much about it. Our relative asked us to go to a medical marijuana in British Columbia (   ).  What do you think? Should we give it a try? Is it worth it?",Type 2 Diabetes
Diabetes,https://messageboards.webmd.com/health-conditions/f/diabetes/9586/at-our-wits-end,At our wits end...,"Our 22-year-old daughter has had Type 1 diabetes since she was three years old. Over the past eight weeks, she has been hospitalized seven times, sometimes in ICU. A few of those times, she was in DKA...one time, it was almost fatal. Her symptoms always start with intense, uncontrollable vomiting. The doctors' diagnosis is always ""diabetes mismanagement."" But her A1C is always good. She has had to drop out of school and move back home, where we have been monitoring her diet, sugar levels and insulin, and all are in compliance. Still, the cycle continues. The hospital stabilizes her, sends her home with the same instructions, then within a matter of days, we have to take her back to the ER. She has been diagnosed with mild gastroperesis, told to eat six small meals during the day rather then three large ones, and was prescribed Reglan...all to no avail. As I write this, I am preparing to take her to the ER again. Advice from anyone who has experienced this uncontrollable cycle would be greatly appreciated.","Treatments , Type 1 Diabetes"
Asthma,https://messageboards.webmd.com/health-conditions/f/asthma/60201/can-a-chronic-cough-when-i-laugh-be-asthma,Can a chronic cough when I laugh be Asthma?,"I get on a deep coughing cycle for a few minutes whenever I’ve laughed. Sometimes I cough periodically, but this is when it’s the worse! I have an inhaler. It helps.  I also think it’s seasonal allergies making me cough? Anyone have this before?","Living & Managing , Triggers , Diagnosis"
Diabetes,https://messageboards.webmd.com/health-conditions/f/diabetes/1026/diabazole,Diabazole,Do you know anything about Diabazole? I came to know about it online the other day for the first time.,"Treatments , Diet , Type 2 Diabetes , Type 1 Diabetes"
Asthma,https://messageboards.webmd.com/health-conditions/f/asthma/63985/oh-asthma,Oh asthma...,I am 21 years old and asthma is controlling my everyday life. It’s a constant struggle. I go through TWO ventolin inhalers in about 3 weeks or less. 200 PUMPS EACH. I’m allergic to so much outside and inside it’s just killing me.,"Living & Managing , Triggers , Treatment , Diagnosis , Tests"
Asthma,https://messageboards.webmd.com/health-conditions/f/asthma/56131/humidity-an-asthma,Humidity an asthma,"I need help. I'm having trouble breathing tonight cause of the humidity, I have asthma an also no AC in my house. I have two small fans going in my house. An I'm still having trouble breathing. I've taken my emergency inhaler an taken a duo neb treatment an I'm still struggling to breathe. Can anyone plz help me. I dnt wanna have to go to the ER for this but I'm getting to the point were I might have to. So I need help can anyone help me quickly plz an ty.",Triggers
Asthma,https://messageboards.webmd.com/health-conditions/f/asthma/67159/it-s-hard-to-take-a-deep-breath,it's hard to take a deep breath,Is it possible to have lung issues without having a low pulse ox? I have a hard time taking a real deep breath and can't hold my breath now for more than about 30-45 seconds. My pulse ox was normal at my last dr visit. 53 yo female. Thanks.,
Asthma,https://messageboards.webmd.com/health-conditions/f/asthma/60727/why-should-i-take-singular-at-night-for-asthma,Why should I take singular at night for asthma?,"On the insert it said if taking singular for allergies then take in the morning. However, if taking the medicine for asthma then take it at night. What's the difference? If it's in my body then it's in my body, right?","Living & Managing , Treatment"
