disease,postLink,postHeading,postContent
Acne,https://www.drugs.com/answers/bad-acne-accutane-taking-doxycycline-2993097.html,How bad will my acne get on accutane if I already been taking doxycycline ?,"Ive recently been prescribed 20mg accutane. I've had Acne on my face, back, chest & shoulders since I was 13. I'm nearly 18 now. I've been taking doxycycline & tretinoin gel for the past couple months and I've been looking a lot better lately. I've already went through a ""It gets worse before it gets better"" phase with the doxycycline. So I was wondering how possible it is for my skin to really flare up and get a lot worse when I start accutane like it seems to for other people? I was thinking that because the doxy already put me through a bad break out that maybe it also cleared out a lot of the bacteria? It's important to me because acne has always made me self conscious. I dropped out of high school because of it. But recently I've started college to get my ged and have been having interviews for jobs too. If my face was to flare up really noticably bad while on this drug. I feel i'd be to embarrassed to keep going to school or still try to get a job.. Any advice or info is appreciated. Thanks "
Acne,https://www.drugs.com/answers/i-am-considering-taking-accutane-but-am-13-years-504438.html,"I am considering taking accutane, but am 13 years old and need help?","I am 13 years old, and have tried literally every acne medication available. BP cream, minocycline pills, retin-a cream, you name it. Tonight, I pretty much reached the breaking point and broke down in tears. I just cannot live another day (I have had acne since 1st grade) with this. Can someone please explain what will probably happen to a 13 year old boy on accutane? "
Acne,https://www.drugs.com/answers/what-can-happen-if-you-do-use-salicylic-acid-on-269607.html,What can happen if you do use salicylic acid on an open wound or damaged skin?,What would a severe problem look like if used in this manner? is this a poison control issue? 
Acne,https://www.drugs.com/answers/mirena-pms-hormones-acne-1073872.html,"Does the mirena help w pms, hormones and acne?","I am very interested in getting mirena and like alot scared due to bad reviews. I can tolerate pain as ive had two children naturally and in my 40s. I have adult acne, experience mood changes due to hormones and horrible pms. Please be as detailed on your response. Thank u! "
Thyroid Disease,https://www.drugs.com/answers/depression-i-am-taking-30-mg-of-lexapro-and-had-171349.html,"Depression - I am taking 30 mg of lexapro and had just discovered I have thyroid, anemia and other?",... health problems can i reduce my med to 20 mg if i've been on 30 mg for about 6 months? 
Sleep Disorders,https://www.drugs.com/answers/ambien-stops-working-3367968.html,What to do when Ambien stops working?,"I have chronic insomnia. Ambien has stopped working because I've taken it for years. It gradually lost its effectiveness and i had to double up on doses to get a few hours sleep. Then I'd run out of pills whuch was a problem. So I'd substitute with lorazapam. But that stopped working as well. OTC's like dyphenhydramine do not work and actually make me jumpy. Melatonin does not work. All the little protocols, obviously I do, limit caffeine, darken room, etc. Etc. Is there something else I can ask my doctor for? Sleepless in NY. "
Thyroid Disease,https://www.drugs.com/answers/levothyroxin-making-gain-weight-feel-worse-935862.html,Could the levothyroxin be making me gain weight and feel worse even though it is supposed to help?,"I take 100 mcg of levothyroxine. I have an underactive thyroid. I do not have any more energy now than I did when I started taking the medicine in November at 75 mcg. I feel extremely distant and depressed all of the time. I also take gabapentin 600 mg twice per day, Detrol la 2mg twice per day, Prilosec 40 mg once per day, micronor birth control tabs and have been taking vybrid 40 mg once per day although that is to change to celexa 40 mg once per day. I have gained 20 lbs since first starting these meds. I have a protruding disc so I really do need the gabapentin. Im not sure which one or more than one is causing the rapid weight gain but I am not an out of control eater. I am concerned about my health because something just doesn't feel right. I also have mood swings and much irritation toward most things. I can't seem to shake these feelings. I have talked to my doctor and would like your opinion. "
Sleep Disorders,https://www.drugs.com/answers/you-3-advil-pm-night-sleep-longer-5-hours-taking-702512.html,Can you take 3 Advil pm at night? I want to sleep longer than 5 hours.,"I have been taking 2 a night for two years, since my neck fusion surgery. I have numerous nerve damage in both legs with a Spinal cord stimulator to block the pain but the neck is another issue! I want to rest! "
Sleep Disorders,https://www.drugs.com/answers/does-diazepam-induse-a-deeper-state-of-sleep-461646.html,Does Diazepam induse a deeper state of sleep?,"So i know this may be an easy question to answer but i was recently prescribed it for anxiety and sudden anger outbursts. I have to say i have NEVER IN MY LIFE have had such VIVID dreams. I am just wondering if this if from the drug itself or the effect of the drug relaxing my body enough to concentrate itself into projecting the dream to me.  My girlfriend has told me she wakes up to me having conversastions with people who arent there (obviously because im in a dream). My uncle is now against me being on the drug because i supposidly sat up and started yelling about things very irreivent to anything going on in the room from a deep sleep, then went right back to sleep... I have no recilection of even waking up much less yelling.  So to sum it up im wondering if this drug is related to having vivid dreams, and\or sleep walking\talking?   Personally, i enjoy having vivid dreams, it is almost like being able to be awake 24 hours a day. Its become so obvious to me now that i can recognize when im in a dream, if you can wrap your head around that. Well thank you for reading this and any response would be very much appreciated. Thanks   -Pat "
Sleep Disorders,https://www.drugs.com/answers/while-on-seroquel-for-several-month-i-began-428983.html,Has anyone experienced insomnia while taking Seroquel?,"While on Seroquel (for several month), I began experiencing severe insomnia, sometimes getting 1 or 2 hours of sleep a night... and many,many nights, ZERO hours of sleep. This, of course, took me off of work. Dr. decided @ that point to take me off the Seroquel ('clean out my system and start over'). The whole process took about 2 months until I started to feel halfway normal again. After speaking to the Dr. and telling him I still wasn't getting enough sleep after returning to work (2 or so hours a night), his response was he did not know what to tell me. I assume he did not want to put me on any sleep medication. I started Melatonin on my own and finally began to get some relief. Now that I am not on Seroquel, I find that I do not require the amount of sleep that I did while taking it. However, due to that, being nocturnal by nature, I have a tendency to short myself sleep wise even though I know it is not in my best interest and that I am an adult and should be able to go to bed when I should! (lol). Anyway, has anyone else experienced insomnia while on Seroquel?? (I was on 600 mg at the time). Thanks "
Sleep Disorders,https://www.drugs.com/answers/buspar-sleep-anyone-buspar-day-bedtime-sleep-890908.html,Buspar for sleep Anyone take buspar once a day at bedtime for sleep..possibly with melantonin?,I am taking 150mg xr of Effexor in the morning... helps with all sorts of anxiety shrink said continue on 0.5 mg of Xanax 3 times a day... notice the buspar before work makes me feel a little foggy headed So stopped taking it in the morning... However have trouble getting to sleep... anyone take buspar..or buspar and melantonin at night for sleep? 
Sleep Disorders,https://www.drugs.com/answers/restoril-temazepam-sleep-pros-cons-568050.html,Restoril (temazepam) for sleep. Pros and cons?,"Haven't been sleeping well of late which is highly unusual for me, but anyway just started taking Restoril last night. 15mgs kept me alseep for 4 hours then awake, though I was able to go back to sleep. I awoke with a headache. Is this a common side effect? Took 30mgs tonight to see if I can sleep through the night. Worried that I won't be able to wake up in time for work. Your experiences: pros and cons, grately appreciated. "
Vaginal Yeast Infection,https://www.drugs.com/answers/long-leave-monistat-7-2602257.html,How long do I leave Monistat 7 in ?,does it just come out on its own or does my vajayjay absorb it ? my first time using it and I'm just confused 
Sleep Disorders,https://www.drugs.com/answers/will-you-have-withdrawals-from-stopping-5-of-512695.html,Will you have withdrawals from stopping .5 of Xanax? It is only taken at bedtime?,My roommate started a new job and she has anxiety issues as do I and I have been giving her a quarter of a 2 mg. bar at bedtime to help her sleep. She only takes it every other night or so. She has only been doing this for a week. Will she go through withdrawals if she keeps taking the Xanax at bedtime and then tries to quit? I know that I am on 5 mg. a day and I would probably die if I quit but I will never be without some sort of benzo. I know it's illegal to share my script but she cannot sleep and she came to me and asked. I just don't want to hurt her in any way. She says the little .5 helps her sleep and she wakes up calm and energized. Will she be able to quit without problems? 
Sleep Disorders,https://www.drugs.com/answers/time-night-lyrica-670825.html,What time at night should I take Lyrica?,"My doctor wants me to try it again at the low 50mg at night,but not sure how fast it will work. I have sleep disorder an cant go to sleep on my own since auto accident,plus I have fibromyalgia,arthritis,CFS,nerve pain,severe back/neck pain,just to name a few. So I need help to sleep so body can get rest to help my pain. But I mainly need pain relief as it is getting very bad in my feet,hands and other joints. I could no longer work since 2006 and most meds make me sick or have other bad side effects, so I am scared to try anything or doctors have given up on me,but I have to get some relief so I can enjoy life again. I am now 58 and missing out on my new grandkids. So any help on when to take the Lyrica at night would be most helpful. Thanks an God bless~ "
Sleep Disorders,https://www.drugs.com/answers/i-am-percibed-ambien-and-trazadone-for-insomnia-i-328778.html,"What is best for sleep, Ambien or Trazadone or both?",I am prescribed ambien and trazadone for insomnia I only sleep for short periods of time? Now when I got the ambien I was told that it was the strongest sleep aid available - it was also a controlled substance. Now my trazadone isn't but i feel like ambien doesn't even come close to making me fall asleep. Now my doctor said to only take one when I told her one wasn't working she said that you can't take two at a time. Do you have any opinions on theses meds or what I've said? 
Vaginal Yeast Infection,https://www.drugs.com/answers/you-constantly-itch-after-yeast-infection-658415.html,Can you just constantly have an itch after yeast infection?,I took amox 875 for a sinus infection and got a really bad yeast infection. Over the counter monistat wasn't working so I went to my gyno they tested me and only had a yeast infection. She prescribed me diflucan 150 mg for 4 doses every 3 days. The medicine worked and made it pretty much clear up. I just took the last pill Friday and there is a little but of itching but not as bad as it was and I don't know if it's not going to go away and what should I do. Should I call them back for some more 
Sleep Disorders,https://www.drugs.com/answers/pain-accidentally-4-200mg-ibuprofen-pm-2818582.html,Pain - I accidentally took 4 200mg of ibuprofen pm. Am I ok?,Just very sleepy 
Sleep Disorders,https://www.drugs.com/answers/diphenhydramine-benadryl-adderall-combinations-3221757.html,Diphenhydramine - Benadryl and Adderall combinations OK?,I took 2 20 mgs of Adderall today as prescribed to me. Now I'm trying to sleep. Can I take 25 mgs of Benadryl? 
Smoking,https://www.drugs.com/answers/what-is-the-average-time-to-quit-smoking-once-483172.html,What is the average time to quit smoking once starting Chantix?,"I passed my quit date... just can't seem to give up my horrible habit. I have tried all the other alternatives.. snacking, gum, cough drops, candy, holding a pen like a cigarette! Someone please help! I am usually pretty good about giving up bad habits, but this one won't break! "
Sleep Disorders,https://www.drugs.com/answers/side-effects-effexor-away-3085489.html,When do side effects of Effexor go away?,"I've was on Effexor 37.5 for a week and just started 75mg for the last 3 days. I've had terrible anxiety, digestion issues, and can't sleep. Please tell me these will go away soon. I'm Also afraid to go out but still do. Please provide with any helpful input. Thanks "
Acne,https://www.drugs.com/answers/accutane-make-skin-sensitive-long-initial-breakout-1065330.html,Does accutane make skin more sensitive and how long does initial breakout last ?,"This is my third week on accutane (20 mg per day) , and i am still breaking out like never before . I have cystic acne on my jawline and they have been there consistently for 2 months now . There are also few cysts on my upper cheek that is below my eye .. and they are so big that they almost cover up my whole face. I dont see any improvement in them , rather i am becoming extremely tanned and my previous scars are becoming all brown and red . Plus the rest of my face is now full of blackheads and whiteheads. My only clear zone is my forehead right now.. i m just not getting it. . Though my lips have become dry but my face is still oily and crap.. how long will this last ? "
Smoking,https://www.drugs.com/answers/started-chantix-back-starter-pack-smoking-3431486.html,I have started my Chantix back but not my starter pack and I'm still smoking I want to know why I'm?,... taking my Chantix can I still smoke or do I have to start my starter pack again 
Smoking,https://www.drugs.com/answers/quit-smoking-xarelto-3138588.html,"I'm trying to quit smoking, but while I am is it ok to have one once in a while on Xarelto?",Because it's harder than I thought quiting. I have a clot in my right calf and was just prescribed to this med. Thanks. 
Smoking,https://www.drugs.com/answers/chantix-long-start-working-2200559.html,Chantix - How long does it take to start working?,I am on day 4 an still smoking not as much but still. I have had no side effects yet or dreams except for this morning I got nauseated after I took it then it went away. 
Smoking,https://www.drugs.com/answers/high-blood-sugar-1521152.html,High Blood Sugar?,"I'm pretty sure this was the A1C test. I know it has to be done again. The # was 121. Just how high is that? Is it ""watch it high"". Start meds High. I guess it's not panic high. My better Doc hasn't seen it yet. The Doc who saw it simply said try to get more exercise, and lose some weight.  I'm a little familiar with diabetes because my father had it. But he died in 1976 so I don't know what the numbers mean. I know what's not good to eat. My problem is I have so many med issues staying away from the bad foods is going to be very hard. I may have to take meds.. Someone please help. "
Sleep Disorders,https://www.drugs.com/answers/sleep-disorders-time-knock-drug-guarantee-sleep-1025449.html,"Sleep Disorders-Is there a one-time ""knock-out"" drug to guarantee sleep the night before wedding?","I've wrestled with insomnia on and off since high school. It's almost always anxiety-related and I've tried everything from Tylenol PM and Benadryl to Lunesta and Ambien . Even with the Lunesta and Ambien, sometimes they work, but sometimes they don't and my mind is able to fight them off. I've learned to live insomnia and like I said, sometimes I'll fall asleep and sometimes I won't. I'm getting married in a few months and really want to be able to have guaranteed sleep the night before the wedding. I already know it's likely I'll have insomnia since I'll be so keyed up. For this one night, are there any drugs out there that can literally ""knock you out""? Again, I'm not looking for something long-term or that would be used habitually, but just something really strong that could be used one time? Thanks so much! "
Smoking,https://www.drugs.com/answers/is-bupropion-sr-150mg-good-for-guitting-smoking-369160.html,Is bupropion SR 150mg good for guitting smoking?,WHat is the diffrents between Bupropion (zyban) and Bupropion (willbuproin) 
Sleep Disorders,https://www.drugs.com/answers/my-son-is-on-vyvance-and-can-not-sleep-504218.html,My son is on vyvance and can not sleep!?,He started taking it in october and he is on 20mg. About 6 days ago he started having major problems sleeping!! Has anyone else had this problem that far along in treatment? Please help. 
Smoking,https://www.drugs.com/answers/what-are-the-possible-effects-of-taking-ambien-372750.html,What are the possible effects of taking Ambien and smoking Meth?,"My sister does this. She says she likes how it makes her feel. I dont know how she feels but i can see the effect it has on her, and there is just NO WAY that this could be good! She is more than confused, she wants to sit and have normal conversations with everyone else, but she is talking about things that noone else see's or hears. She even ""moves things"" that arent there. If you try to bring these things to her attention, then she says we are just being mean and picking on her, or she gets angry and starts yelling. She, if left alone, will wake her 8yr old up at 3am ""to get ready for school"" over and over again with maybe 30 minutes to an hour in between, just enough time for the poor girl to fall back asleep, then here comes her twacked out mother singing some dumb preschool song waking her up for school at 3:30am! This description is tame compared to the reality of the situation. It is not only these 2 drugs that she abuses, any and all! She started with vicodin for TMJ- now she is on 100mg MS Contin that she takes at least 4 times a day (that we know of) for ?? I guess for just being an addict? I dont really know what the actual ""problem"" is. But she will not believe that it is harmful to her to take these drugs together and she gets angry that i point out how harmful it is for her daughter to see and live with, etc etc etc PLEASE GIVE ME SOMETHING THAT I CAN PRINT OUT AND SHOW HER... "
Smoking,https://www.drugs.com/answers/prestiqe-wellbutrin-together-3431348.html,Can I take Pristiq and Wellbutrin together?,I just started on Pristiq two days ago after using taking Cymbalta. I took Wellbutrin to help me with smoking cigarettes. Can I take Pristiq and Wellbutrin together? 
Smoking,https://www.drugs.com/answers/effect-smoking-marijuana-taking-haldol-3319647.html,What effect does smoking marijuana when taking Haldol?,
Thyroid Disease,https://www.drugs.com/answers/afrin-what-thyroid-disease-is-referred-to-in-500430.html,Afrin - What thyroid disease is referred to in instructions?,I take Synthroid for low thyroid level. Is this affected by Afrin 
Thyroid Disease,https://www.drugs.com/answers/warning-do-not-take-armour-thyroid-if-you-are-424540.html,WARNING: DO NOT TAKE ARMOUR THYROID IF YOU ARE ALLERGIC TO PORK!! I was put on Armour Thyroid by my,"... physician about 2 years ago even though I informed him that I had been diagnosed with a pork allergy. I did not realize that Armour Thyroid came from pigs. I developed some very unpleasant symptoms including a daily fever (101-103) every day for over seven months. I also had extreme itching on my scalp and started experiencing inflammation and joint stiffness. When I asked him if these could be side effects of the medication, he said no. He also had me taking an iodine supplement to increase absorption of the med. I asked him to test my thyroid levels and he said he preferred to go by how I felt. Well, I felt awful and I had my other doctor monitor my levels and he kept telling me that I was over-medicated and was hyper instead of hypo. I discontinued the Armour ONE day when going for a CT scan and I could not believe the difference in how I felt. I weaned myself off of the Armour, started on Levothyroxin and feel like I have my life back. I called Forrest Pharmaceuticals and they said I definitely should not have been placed on Armour if I had a pork allergy. NONE of my doctors were aware of this (I have many of them due to various health issues and I always tell them of my pork and gluten allergies), so I'm posting this, so that I can help someone else avoid what I went through "
Smoking,https://www.drugs.com/answers/risks-smoking-taking-150mg-venlafaxine-hcl-761596.html,What are the risks of smoking while taking 150mg Venlafaxine HCL?,"I am a young adult and I've been taking Vanlafaxine HCL for a year, and smoking for 4 years. I've been on 150mg dose for about 6 weeks. What are the risks, if any? "
Vaginal Yeast Infection,https://www.drugs.com/answers/monistat-1-monistat-1-tonight-boyfriend-706304.html,"Monistat-1 - I just used the monistat 1 tonight and my boyfriend and i's anniversary is tomorrow,?",... can i have sex or will it be bad? 
Thyroid Disease,https://www.drugs.com/answers/hashimotos-disease-risks-sore-throat-hashimotos-3128945.html,"Hashimoto's Disease - What, if any, are the risks with having a sore throat with hashimotos?","I have a cough with a very sore throat, it feels like its hard to breathe, my neck feels tight and the more I cough the tighter it seems to be getting - problem is, I suffer from hashimotos thyroiditis. Should I be alarmed? Do I need to go to the doctor? "
Thyroid Disease,https://www.drugs.com/answers/thyroid-hello-biopsy-10-days-ago-4-nodules-802949.html,Thyroid - Hello all. I had a biopsy 10 days ago on 4 nodules. I was getting inpatient getting no?,... call from my? 
Thyroid Disease,https://www.drugs.com/answers/armour-thyroid-market-site-fda-approved-753198.html,Why is Armour Thyroid on the market on your site; if it is not FDA approved?,I was given a RX of Armour Thyroid and I filled the RX also. After looking at the side affects on Drugs.com & the Pharmacy; I found it had the same side affects as different Thyroid medication that I was taking and after looking in to Armour Thyroid I found that it is NOT FDA approved after calling them yesterday! 
Thyroid Disease,https://www.drugs.com/answers/confused-thyroid-stuff-hyper-hypo-hashimotos-543657.html,I'm so confused by all this thyroid stuff. Like hyper vs hypo and Hashimotos. I need some help?,"A doctor put me on two types is thyroid medication, Synthroid and Nature Throid. So I took the meds as prescribed for a few weeks but then I started to feel sick. I ran a low grade fever, got very hot and then sometimes I would freeze so bad. Also I got very lightheaded and jittery feeling, irritable and just very tired. So went to see my primary doctor and she tells me I don't even have Hashimotos. That according to all the test results from the first doctor, which I showed her, they were misread. I just don't understand how two doctors could come up with such different conclusions. But I still think I may have hyperthyroidism. Can someone help me sort it all out? "
Skin Rash,https://www.drugs.com/answers/armour-thyroid-anyone-rash-itching-manage-work-527790.html,Armour Thyroid - Has anyone had the rash and itching and manage to work around it?,"I have been on Synthroid, and Levo, neither help as this has. I have had really bad itching with hives and rash though.I can't go back to synthetics.Any help? "
Acne,https://www.drugs.com/answers/long-term-effects-bactrim-605920.html,Any long term effects using bactrim?,"My 16 yr old son has been on Bactrim for 2yrs & when we went for follow up nurse said he shouldn't be on it for that long. So we went off it, only for the acne to re occur & Doctor put him back on it with a fup in 30 days. Who's telling the truth? Should you not be on it for that long? "
Thyroid Disease,https://www.drugs.com/answers/side-effects-of-too-little-thyroid-med-synthroid-298632.html,Side effects of too little thyroid med - Synthroid?,Old symptoms pre-diagnosis returning or synthroid just isn't working well. 
Vertigo,https://www.drugs.com/answers/amoxicillin-tylenol-3s-together-extreme-dizzy-1689706.html,I took amoxicillin and tylenol 3's together and I had an extreme dizzy spell and sweating?,"I took these medications on an empty stomach (just with water) and it was a few minutes after that this extreme dizzy spell happened and i also was not able to see while the dizziness was occurring, I just want to know what happened and if i'll be okay. "
Vertigo,https://www.drugs.com/answers/zofran-dizziness-781048.html,Will zofran help dizziness?,I've been dizzy today. Wonder if zofran will help. 
Vertigo,https://www.drugs.com/answers/gabapentin-long-side-effects-3296508.html,Gabapentin - How long do side effects last?,"Have just started taking gabapentin for anxiety, 1 x 100 mg a day. I am feeling very sick and dizzy. Has anyone experienced this and how long will it last? "
Smoking,https://www.drugs.com/answers/implanon-are-there-health-risks-involved-with-355662.html,Implanon - are there health risks involved with smoking cigarettes while having the implant? my?,... blood pressure has increased and i'm a bit conerned. i went to the doctors a couple days ago she said to check back in 2 weeks. 
Skin Rash,https://www.drugs.com/answers/rash-bumps-drug-3492776.html,I have a rash or bumps since using this drug?,Also I am dizzy when I lay flat  Should I consult my doctor? 
Vertigo,https://www.drugs.com/answers/buspirone-busporine-dizzy-long-before-dizzy-3312502.html,Buspirone - I take buspirone and get dizzy. How long will that last before I don't get dizzy?,... anymore? 
Vertigo,https://www.drugs.com/answers/stopped-taking-zoloft-100mg-cold-turkey-4-days-572484.html,"Stopped taking Zoloft (100mg) cold turkey and 4 days later, feeling a bit nauseous and vertigo-ish?",Can someone tell me how long this feeling lasts and if there's anything I can do to get rid of this dizziness? I am off almost 5 days. Shouldn't the vertigo feeling go away soon? 
Vertigo,https://www.drugs.com/answers/metoprolol-side-effects-similar-vertigo-symptoms-567889.html,Metoprolol side effects similar to vertigo symptoms?,"... taken metoprolol for 2-3 yrs and have vertigo-like side effects. light-headed, off balance, very unsure of balance, sometimes can hardly see object i'm looking at, also... just a blur. Uncontrolable rash and itchy spots... random, on arms, hands, legs, feet, face... very, very itchy... scratching draws blood & the itch is still there... ongoing & extremely uncomfortable... skin is tender everywhere on the body. "
Thyroid Disease,https://www.drugs.com/answers/can-i-safely-ween-myself-off-levothyroxine-473503.html,Can I safely ween myself off Levothyroxine?,I had a nodule on my thyroid that went away and I'd like to get off the low dose of Levothyroxine I've been on for about 10 yrs.. Can I do it and how? My dose is only 5mcg. 
Vertigo,https://www.drugs.com/answers/st-johns-wort-long-flush-st-johns-wort-system-1153381.html,St. John's Wort - How long does it take to flush out st johns wort out of your system!!! I only took,... it for 3weeks 300mg pills and I got very bad side affects crazy vertigo. It scared me! I stoped taking it. It's been 2weeks now and I'm still having these side effects 
Urinary Tract Infection,https://www.drugs.com/answers/how-long-wil-a-uti-last-im-n-alot-of-pain-so-wat-471486.html,How long wil a uti last? Im n alot of pain so wat can I take 2 aleviate the pain w/ goin 2 er?,
