disease,postLink,postHeading,postContent
Obsessive Compulsive Disorder,https://www.drugs.com/answers/i-have-been-on-paxil-for-about-10-years-i-weined-412424.html,"I have severe withdrawal symptoms after weening off Paxil after 10 years, what should I do?",I have been on Paxil for about 10 years. I weined off of it about a month ago and I am having the most severe physical and mental withdrawl symptoms. I don't know what to do. I feel like I am going crazy and physically feel like I have the flu or something. I don't even get out of my house because I feel so horrible all of the time. I am either angry or crying all day. Need some help!! 
Obsessive Compulsive Disorder,https://www.drugs.com/answers/amitriptyline-severe-anxiety-907897.html,Amitriptyline for severe anxiety?,"I suffer from severe anxiety,ocd and some depression. I was maybe thinking about asking for amitriptyline mainly to help the severe anxiety. I have tried a lot of anti depressants, anti anxiety drugs and none of them have really helped and the side effects have been quite hard to handle. I was just wondering if Amitriptyline is a good medication for anxiety? "
Obsessive Compulsive Disorder,https://www.drugs.com/answers/im-taking-zoloft-for-my-panic-attacks-but-is-not-286550.html,I'm taking Zoloft for panic attacks but it's not helping. What do you suggest?,"Panic attack, anxiety & depression. Nothing seems to help. Got no one but my therapist and psychiatrist to talk about it. No one understands. Feels like you're dying, crying for no reason, the heartaches. It's terrible. The Zoloft or Trazodone is not helping and my MD will not prescribe Xanax. HELP. "
Obsessive Compulsive Disorder,https://www.drugs.com/answers/expect-start-taking-paxil-874397.html,What should I expect when I start taking Paxil?,I have received my RX for Paxil 10 mg. I have not stared it just yet I'm a little nervous to honest. Can anyone tell me what to expect ? Also my doctor told me that 10 mg is to start me off I guess that is a small dosage? What will I feel like once I have taken it for a while. The reason the doctor prescribed this is for my anxiety and depression. I can't seem to stop worrying about every little thing. I get so worked up over things most people don't even think about. I have a hard time enjoying anything around me. I have a wonderful family and friends I'm not in debt at all. Just cant seem to get it to click to enjoy my life. 
Obsessive Compulsive Disorder,https://www.drugs.com/answers/just-took-a-10mg-prozac-i-was-extremely-anxious-431240.html,Just took a 10mg prozac. I was extremely anxious before. I haven't wanted to take it for over 5?,"... years. I'm very afraid. I'm a fully housebound agoraphobic that suffers from OCD, anxiety, and panic attacks. Will this help me? I don't want to get worse! "
Neuralgia,https://www.drugs.com/answers/wife-taking-gabapentin-300-mg-sciatica-nerve-pain-3322810.html,My wife is taking gabapentin 300 mg for sciatica nerve pain?,My wife is taking gabapentin 300 mg three time a day for sciatica nerve pain will she have to wean off them or can she just stop all together. Thank you. 
Neuralgia,https://www.drugs.com/answers/true-narcotic-pain-meds-work-572703.html,Is it true that narcotic pain meds do not work?,"on nerve pain, I have had chest pain for 2 1/2 yrs from what Ive been told by Drs from shingles, I have suffered this entire time given all kinds of B.S. pills from anti seizure to anti depressants and my one Pain Dr told me narcotics do not ease nerve pain... I would appreciated any insight on this from someone who has gone through Post Herpetic Neuralgia from shingles... thanks... shine "
Neuralgia,https://www.drugs.com/answers/what-happens-if-you-mix-vistaril-and-xanax-or-409191.html,"What happens if you mix vistaril and xanax, or klonapin?","i have all three, i just got outta rehab for alcohol and they gave me all these med because of nerve damage over the years. but i heard that vistaril inhances them. please let me know. thanks. "
Neuralgia,https://www.drugs.com/answers/postherpetic-neuralgia-new-gallixa-cream-useful-878444.html,Postherpetic Neuralgia - New Gallixa cream… useful for PHN?,"Dear all My mother is a 77 years old sufferer of PHN who has been trying obediently all the range of drugs (Gabapentin-Neurontin... nerve blocking injections, antidepressant, morphine…) that the doctors prescribed to her for more than 7 years now. The pain has been reduced only slightly and the small improvements have not made up for the side effects. Lidocaine- Patches had helped her but after some 3 years of using them it seems that they are losing their effectiveness and the itching pain is even stronger than ever before. We are looking for any other topically applied product. I’ve just seen in the internet, with hope, a new product, Gallixa (Gallium maltolate cream ), but have not seen any independent review and only one successful case reported to treat PHN. I live in Europe and think this cream has not been approved for medical use by the FDA (although for PHN approved drugs this has not meat much).  Is there any one among you who has tried or know about this product? I would appreciate any advice or recommendation. Best regards "
Neuralgia,https://www.drugs.com/answers/pain-medication-working-anymore-614921.html,Why isn't my pain medication working as well anymore?,"I have been taking Percocet 10/325 for a little over 7yrs due to a back injury. I have had previous surgeries on my back. I have nerve damage in both legs and extreme pain in my back, which limits my mobility. My doctor has prescribed 6 pills a day, to control the pain. I am also on Neurotin 800mg taking 3pills at bedtime. And recently I have been given sleeping meds as well. It seems as if the medication is not working as well anymore. Is my body building up a tolerance or should I be taking a stronger medication? "
Neuralgia,https://www.drugs.com/answers/gabapentin-split-400-mg-capsule-taking-300-mg-604463.html,Gabapentin - Can I split a 400 mg capsule?,"I'd been taking 300 mg until recently, when my PM doctor upped my dosage (I take the drug for nerve pain after three surgeries on my lower back) Thanks! "
Neuralgia,https://www.drugs.com/answers/foot-pain-after-total-knee-replacement-366520.html,How long will I need to take Lyrica for foot pain after total knee replacement?,My foot has terrible pain after a Total Knee Replacement; my surgeon scoffed it off as arthritis. I think there was nerve damage during the surgery. My Podiatrist recommened Lyrica and that has relieved the pain. I just want to know how long I should take Lyrica and if anyone else has the same problem. 
Obsessive Compulsive Disorder,https://www.drugs.com/answers/how-does-effexor-affect-your-sex-life-388943.html,How does Effexor affect your sex life?,"I really enjoy my sex life and am starting Effexor in a couple weeks. I read some sexual side effects from this drug and am concerned to exactly what people experience. I know everyone is different. By sharing experiences I will have a pretty good idea what to expect and maybe what to do to deal with it. All my sexual life it takes me at a minimum a half hour and usually closer to an hour to cum. Sometimes I would stop as either my partner or me, sometimes both of us, were ready for a rest. If this drug makes it harder for a male to cum I wonder if I will ever experience that while taking this drug. In reality, how long does a person really want to spend having sex. Especially the woman as I fear this will put a burden on her to want to satisfy me at the cost of her not enjoying it anymore. I am moving to a different state to be with my woman and really do not want this drug to be an issue with our love life. I currently take Cymbalta 60 mg one time daily and Welbutrin SR 100 mg two times a day. My doctor told me to stop these two drugs when the Effexor arrives. I get it free from Pfizer thru their program for low income people. Any comments from both men and women on the side effect with your sex life and any ideas what you did to overcome this will be greatly appreciated. I understand this is an awkward topic to discuss in a public forum. Anyone can post here without giving any personal information. And lets be honest. We all desire a healthy sexual life as it is a normal part of our makeup.  Thank you in advance for your help. :0) "
Neuralgia,https://www.drugs.com/answers/started-50-mg-lyrics-nerve-pain-lyrica-anx8-3268648.html,I have just started 50 mg of Lyrica for nerve pain. Does lyrica help with anxiety?,
Vomiting,https://www.drugs.com/answers/taking-penicillin-2-500-mg-tablets-day-dental-660817.html,"When taking penicillin, 2 - 500 mg tablets twice a day (for dental) cause sever vomiting?","68 yr old male has taken penicillin in the past without any problems. I gave him his first dose on the 12th,PM, 2nd dose on the 13th AM, 3rd dose PM. He had complained of stomach cramps early in the day on the 13th, and by late afternoon was feeling sick to his stomach and didn't want to eat dinner. He was given his PM dose. He complained of feeling real sick, nervous, and was up most of the nigh,t complaining of feeling nausea and by early morning had vomited twice.On the morning of the 14th I gave him his AM dose. He vomited soon afterwards, and has continued vomiting every 20-30 min until now "
Neuralgia,https://www.drugs.com/answers/has-anyone-been-prescribed-neurontin-for-nerve-305457.html,Has anyone been prescribed Neurontin for Nerve Pain in their back?,"I talked to my pharmacist and he told me that Neurontin has less side effects than Amitriptyline. He also told me that Neurontin is prescribed to patients to relieve their Nerve (Back Pain). I would like to know if anyone has tried Neurontin and has this medication eased your nerve pain also what side effects did you receive from taking this drug? Thank you, Lisaswtlady "
Obesity,https://www.drugs.com/answers/amitriptyline-work-nerve-pain-always-weight-gain-718990.html,How does amitriptyline work for nerve pain? Does it ALWAYS cause weight gain?,My dr. suggested it for some mild nerve pain after a surgery but I understand that weight gain is one of the most frequent side effects. I'm over 55 years old & I'm about 15 lbs. overweight so I really can't afford to gain weight. I'd love to hear about your experience with this drug. Pls. include the dosage you were (are) taking. Thanks so much. 
Neuralgia,https://www.drugs.com/answers/back-pain-sciatic-nerve-pain-buttocks-doctor-622810.html,Back Pain - I have sciatic nerve pain in buttocks . doctor prescribed meloxicam gabapentin it has?,... been 3 weeks and im still in pain.I have appt for x ray .what can i ask for to relieve this pain . IT is making me miss work .I am a carpenter 
Neuralgia,https://www.drugs.com/answers/taper-lyrica-correctly-3323973.html,How to taper Lyrica correctly?,"I'm on Lyrica, 75mg 3x a day. I'm tapering off 25mg at a time. Right now, I'm taking 75mg in the morning, 50mg early afternoon, and 75mg at night. How should I progress? Take one of the 75mg doses down to 50mg also.. Or take the 50mg down to 25mg? The doctor spreader the doses out like that due to I was getting inter-dosing withdrawal from just two doses. And if it's to take one of the 75mg doses down, which one? Morning or night?  I have talked to my doc, they said it was up to me. I'm just trying to reduce any withdrawals. (I dropped 75mg all at once to begin with and had horrible withdrawals for about 3 days) Thank you for any advice "
Allergic Reactions,https://www.drugs.com/answers/lamotrigine-lamictal-causing-legs-ache-rashes-585771.html,Lamotrigine - could Lamictal be causing my legs to ache and have rashes?,"I had an allergic reaction to triliptal. I was switched to Lamictal and began to feel allergic symptoms ease. They are back now. I have awful leg aches, cant sleep thru the night. I get leg rashes. My lymph nodes in the back of my neck are swollen and sore. I get nausea frequently... ugh! I went to the doctor and she did bloodwork and stated it was normal. I dont feel normal, Im in pain and they just give me pain pills. HELP!! I am healthy, recovered smoker, 43 years old and active... very active!! "
Opiate Withdrawal,https://www.drugs.com/answers/i-am-trying-to-get-off-methadone-on-50mg-and-now-139743.html,"I am trying to get off Methadone, on 50mg and now 30..How does this get out of ur system?I need help","I am sick of my life revolving around going ot a clinic, I want to just quit cold turkey, I can go 2-3 days without it and not feel to bad, I take benadryl to take the edge off..I just dont understand any of it, how can u get off it? how does it get out of your system? I have asked at the clinic, but i get a vauge answer..I just need any advice i can get.. I am sick of it running my life.. Please someone help me with some answers.. "
Opiate Withdrawal,https://www.drugs.com/answers/what-can-i-do-to-avoid-the-horrible-cold-feeling-472232.html,What can I do to avoid the horrible cold feeling I get from opiate withdrawal?,"I have been addicted to oxycodone(""Roxies"") for over a year, I use between 2 and 7 30mg tablets a day, and I obtain them on the streets so I am wrecked financially because of my addiction. I've been trying to quit, but the worst part of the withdrawal is that when ever I attempt to go out and do anything I feel like I am freezing to death... Staying at home with the heater on under a pile of blankets is ok, but i have 2 jobs and have to get on with my life... is there any otc drugs or anything from a health food store or food supplement, or vitamin, that would do anything to make me not feel so cold? That's been the main reason I've continued to use when I try to quit, I'm so cold I feel like I'm gonna freeze to death... any ideas? "
Opiate Withdrawal,https://www.drugs.com/answers/withdrawal-i-have-been-on-methadone-maint-for-16-59344.html,"Withdrawal - I have been on methadone maint. for 16 years. Recently, after being seriously f'ed with","... at my clinic, I've found myself in the uncomfortable position of having to do a very rapid detox. Frankly, my head is so messed with, that I've been having extremely serious panic attacks every day when I go to get dosed. At this point, I'm more scared to go to the clinic, than I am to detox! Obviously, there are many details to my situation. At the beginning of July, I was on 90mg, and as of tomorrow I'll be at 38.5mg. I've actually been doing fairly well. I do have some experience with this, as I detoxed from methadone and a variety of other drugs 20 years ago and stayed clean for about 3 years. I'm wondering if anyone has a good plan for the physical aspects... my head is already a mess, so I don't imagine I'll get much worse in that department. I will greatly appreciate any advice I can get. I know things will start getting much worse very quickly now. I've always found that when you get below about 40mg, helltime starts. Thanks... "
Opiate Withdrawal,https://www.drugs.com/answers/opiate-withdrawal-anybody-in-there-im-feeling-503032.html,Opiate Withdrawal - Anybody in there?? I'm feeling quite stupid. I'm 52 yr old and just recently?,"... wrapped my mind around the fact that I am addicted to hydrocodone. I've tapered off use for the last two days and am setting in for a weekend of detox. I never took that many in one day. I started over a year ago (prescription) with 5 mg twice a day. This last month I have found myself needing ~30 mg a day. I also put two and two together and realized that my last few bouts with what I thought was the flu was actually withdrawal symptoms coming on. I would eventually take a pain pill for the backache and miraculously I'd be better. It's been well over 9 months since I have gone more than 24 hours without hydrocodone. But... since I'm not taking a huge amount, is detox going to suck hard, or just suck? "
Obsessive Compulsive Disorder,https://www.drugs.com/answers/has-anyone-ever-successfully-quit-lexapro-518883.html,Has anyone ever successfully quit Lexapro?,"I have slowly weaned off of Lexapro over a month and for the past week have been not taking any, and my obsessive negative thoughts and anger are out of control. I can't sleep. I've also experienced frequent bouts of anxiety, jitteriness and upset stomach throughout the day, even over simple events or activities. When I look up Lexapro withdrawal, I find a long thread here that discusses the symptoms, but I've never read a single testimony, as far as I can recall, claiming that the withdrawals did in fact end for them after a period of time and they lived happily and functional again, without Lexapro. This is quite discouraging. I want some evidence that it's possible. I REALLY don't want to go crawling back to Lexapro, especially when I hear about how horrible and bad for you SSRIs are, so I'd like some encouragement and guidance from people who actually know the other side of this, if they exist. "
Opiate Withdrawal,https://www.drugs.com/answers/safe-tramadol-methocarbamol-1853167.html,Is it safe to take tramadol with methocarbamol?,I recently stopped taking oxycodone 10mg. But I'm not sleeping at all and restless legs are driving me nuts. So they put me on methocarbamol and I'm already on tramadol. Is this a dangerous mix? I was on the oxy for 5 months for lower back chronic pain. Still hurting really bad but had to give up the oxy. Thanks for any help you can give me. 
Opiate Dependence,https://www.drugs.com/answers/take-suboxone-after-methadone-398179.html,Take Suboxone after methadone?,I do not take either one daily. I have had back pain and I took three10mg methadone tablets. Well that didn't really last long so I took a 8mg Suboxone. So far I am fine other than feeling a little sick on my stomach but I also haven't really ate today. This won't really hurt me will it?? 
Neuralgia,https://www.drugs.com/answers/sound-pain-post-herpetic-neuralgia-570175.html,Does this sound like the pain from Post Herpetic Neuralgia?,"so the Drs say I have Post Herpetic Neuralgia they say from shingles. I never had the outbreak but I suffer from horrible left sided burning chest pain 24/7 deep inside around the the breast area and it has affected my life for the past 2 1/2 yrs, only thing I remember was about six little blister in the center of my chest and paid it no mind at all thought it was just a lil rash... I cant sleep and nothing relieves the pain... I have tried all meds, Lyrica, gabapentin topomax, nortriptyline, the list goes on and on... I tried and have had intercostal nerve blocks and nothing has helped me... NOTHING.. Please if anyone has had this could you please let me know as I am so desperate for relief and for sleep I have several posts on this but I keep trying hoping someone knows about what Im feeling... shine "
Opiate Dependence,https://www.drugs.com/answers/please-help-going-through-wds-and-on-suboxone-301649.html,PLEASE HELP! Going through wds... and on suboxone?,Hey guys! I will start off by saying that I have been using opiates for about 3 years now. It started with vikes..then perks..then methadone and now I am a mess. My whole life has been ruined. Before the methadone I was taking 5 percocet 10mg at a time and it wasnt even giving me a buzz (This is also after being on percocet for over a year). I am a 22 year old girl and I only weigh about 120lbs... My tolerance was sky high. What made me hit rock bottom was when I got a hold of a bunch of methadone and started using that because it made me feel normal... i was taking 10-20 10mg methadone a day for the last 6-8 months. Last thurs I ran out of methadone and was using percocet to get through the withdrawals. Finally enough was enough and I got a hold of this AMAZING suboxone dr. I had my induction on Tues..but the problem was I took 5 15 mg roxies at 4 am before my induction. When I got my first 8mg dose of Sub I immediately went into precipitated (?sp?) withdrawal for about an hr... then I started to feel a little more comfortable. The comfortable feeling didnt last so I took another 8mg pill later that night. Tuesday night was the worst night of my life I did not sleep a wink I had the worst wd pains the RLS..the hot and cold flashes that run through ur body and make u feel awful and of course the diarrhea and the stomach pain (and anxiety feeling) right above my belly button. On wed my dr increased my sub to 3x a day (8mg) slowly by taking halves. STILL NO RELIEF? I slept last night maybe for 2 hrs at best and I am completely miserable. I took my sub this morning and still I am uncomfortable and miserable and I cant even take anything to relieve my twitchy legs or my anxiety belly pains or the INTENSE hot and cold flashes. I have even considered suicide (I also suffer from bipolar)..I can't do this anymore. Does anyone have any good advice? I need help before I do something that I can't take back. No one in my life understands how hard it is to feel these symptoms CONSTANTLY for days on end while I can't sleep or barely sit down. My dr will be calling me today to see how the 3X a day is doing..and I have my second appt tomorrow... but I am just not hopeful. To top things off my fiance who was my partner in crime with using..he is feeling completely normal from 2 8mg a day. He sleeps and isn't suffering at all. I am hysterically crying right now bc I can't deal anymore. PLEASE HELP!!! thank u!! 
Opiate Withdrawal,https://www.drugs.com/answers/how-much-longer-can-opiate-withdrawal-hell-on-384525.html,How much longer can opiate withdrawal (hell on earth) last?,"Friends: I need some help here. I have been off of opiates (perks, oxy's, dilaudid) for 23 days. I have been taking them daily for 4 years and have been dopesick hundreds of times, and have never made it this far. I am still having monster withdrawal. I am still sneezing, having diarrhea, difficulty sleeping, and anxiety that is INTOLERABLE. I have been taking a few klonopin, and it helps with anxiety and sleep. I only had 5, and i only got 5 for a reason. I do NOT want to become physically dependent on benzo's as the kick from them is so much worse than opiates. My line of work is a drug counselor and i dont want to seem like i know everything. I know what to tell, and how to encourage OTHER PEOPLE, but not myself. This seems like a never ending story. I still have no energy. I know the length of time varies. I went to rehab and seemed to do better when i was there, as my days were full. Now i am home, my kids go off to school, and i spend my days fighting everything. I dont have the energy to shower, but i make myself. Everything is a chore. Am i ever going to feel better? If so, how soon. I am on the verge of relapse or reversion cuz i feel like i cant take it ONE MORE SECOND. I swear, i wouldnt wish this on my worst enemy, and would rather battle some life threatning illness than ever go through this again. And, if you have ever kicked ops, you know that every minute seems like an hour and the days are long. Will i ever be normal again? I have seen others get through it, but its just not happening for me. Please help me with some advice, encouragement or kind words. Thank you friends. P.S. I CANNOT do the NA meetings. Ive tried. God Bless the people for whom it works. I dont knock it, its just not for me. "
Opiate Withdrawal,https://www.drugs.com/answers/how-hard-is-it-to-withdrawal-off-go-5mg-methadone-169272.html,How hard is it to withdrawal off go 5mg methadone?,"I have read other post similar to this and people have laughed at this question because it is such a low dose, but Im honestly terrified. I sam 28 Yrs old. I have been taking methadone on and off for about ten years. In the last 3 of those 10 years I have been taking 5mg every day. The last 6 months I have been taking 7.5 and sometimes 10mg a day instead of the 5mg, a couple times a week. Last week was the first time I didn't take it for almost 3 days in about a year. the first full day started off with what I hear are typical withdrawal symptoms..runny nose, sneezing, teary eyes, nothing horrible. But that morning when I woke up, WHOA, I had never experienced back pain like that. It was horrible. I couldn't lay, I couldn't stand. I took some advil and kept low key, but that night it just got worse and worse. I was so tired but I couldn't sleep and my back was on fire. I made it halfway through the third day and just couldn't take the back pain (I have never had back pain issues) and I kept having MASSIVE panic attacks (Once again, I have never had panic attack issues) so I took a methadone to make myself feel better. I don't even know the first step to stop. I want to stop, that was a wake up call. I now accept that I am addicted to methadone. No one knows,not my husband, my friends..no one. Ive kept it hidden very well. I just want to know how much worse will the withdrawal get? I always just figured 5 mg was no big deal and I would never have a problem stopping whe I wanted to. Can I withdrawal at home? I cant afford to take time off from work to go to a rehab. I have heard about suboxene..is this an option. I just don't know what to do. Thank you for reading this, I know this was very long. Any advice is very appreciated. "
Opiate Withdrawal,https://www.drugs.com/answers/withdrawal-want-to-get-off-the-methadone-but-47565.html,Methadone Withdrawal - Want to get off Methadone but wondering the best way?,"Hello I have been on 135 mg of Methadone a day at a clinic for over 3 1/2 yrs now and I recently lost my job and dont have the money to pay for the clinic right now and they are starting me on MSW (medically supervised withdrawal) or so they call it, starting tomorrow, they will start dropping my dose by %10 a day until I either catch up on the $200 I owe now or I get to 0, I am wondering if I should just let this happen and see what it does to me, I have wanted to get off of this garbage for a while now, but I am also scared of what it is going to put me through. Just wanted to know what you all thought??? Is it dangerous to go this route to get off of it, or do you think I will be ok?? that would be going from 135 MG to 0 in 10 days, kind of scary!!! "
Opiate Withdrawal,https://www.drugs.com/answers/addiction-does-anyone-know-how-much-percocets-30-385152.html,Addiction - Does anyone know how much percocets (30) cost on the street? What about Methodone?,"My husband is addicted to pain pills and owes drug dealers money. How much could he possibly owe? And should I be concerned that a pill dealer could come and hurt my family. He says he has been clean for 2 months but I found methodone which he said doesn't ""cost anything"". I want out of this situation but he wont leave but I also don't want to break up my family while he is clean if he really is. "
Opiate Withdrawal,https://www.drugs.com/answers/opiate-withdrawal-hello-all-day-6-and-im-feeling-56478.html,"Opiate Withdrawal - Hello all Day 6 and I am feeling a lot better then day 1,2,3 going cold turkey?",... sounded rough and let me tell u it is!Not trying to scare ANY1 because so far its the BEST decision i have made and i thank god my daughter and family for it AND don't think i forgot about YOU GUYS but HOW long till i stop pooping and throwing up EVERY MORNING or when i eat something and what else should i expect out of this and when will i have complete control AGAIN besides CRAVINGS... Please respond and if your hear asking is it worth it to QUIT... Yes do it NOW... NOT later it makes u feel so much better about day 3 mentally but still a little sick BUT worth it 100% Much Love and respect to ANY1 who has STRENGTH to do this cause it takes more to QUIT then it does to Start so with that in mind remember get your WILL POWER Back and take control??? 
Abnormal Uterine Bleeding,https://www.drugs.com/answers/period-is-different-this-month-been-on-birth-484150.html,Period is different this month? Been on birth control for 7 months!?,"Ok so I have been on birth control (tri-sprintec) for 7 months now. Usually I start my period on the 3rd sugar pill at some point during that day. This month I started on the 4th which I know isn't that big of a change, but it's the first time it has started later so that freaked me out. What is actually weird though is that I had spotted in the morning so I put on a pad and tampon and then changed both about 4 hours later. I noticed I hadn't bled that much (practically nothing was on the tampon) then later when I took out the other tampon there was still only a little bit of brown blood on it. I didn't put another tampon in after that. I went to the bathroom about 2 hours later to see that I hadn't bled AT ALL. Then I started bleeding a little bit after that but not nearly as much as I usually do. Then it was really light again, then it got a little bit heavier. I went to the bathroom once and had a big clot come out like I normally do. And sometimes when I wipe the blood is a bright red, but seems to have a little bit of a mucusy substance in it. I have had pretty bad cramps, a little worse than usual. I am usually very heavy on the first day of my period. It is just really weird to me that my period is so light when I'm usually so heavy and that I started a day later than usual. I had sex once this month with a condom, but I just am worried that this could possibly be implantation bleeding? Or maybe just a change up in my period? What does everyone think? "
