disease,postLink,postHeading,postContent,postTags
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/20425/more-days-go-by-changes,More days go by changes,I posted before but now it's a repost by few updates . I had a red part under my penis head it's like a line and it's not small.i have this two red line Both side but in different shape . When touch the red line it's hurts badly sometimes it sting and its like an old scar that never the skin get open .it's painful and even all touch is like I cut by a sharp thing but actually there isn't anything . The pain is annoying because not only I can touch myself but also if makes my mind so busy . I went urlogist but by physical exam he didn't find anything wrong just said some sore skin is there . There lines go till under my penis and the burning stinging feeling is same in most places .there is a red line visible by eyes too . What's the problem do i have any problem under my skin ? Or its skin problem ? Some pic as examples,Men's Issues
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/20414/notice-small-bumps-on-penis-head,Notice Small Bumps on penis head,"I noticed small bumps on the head of my penis after masturbating about a week ago. After masturbation, I noticed there was blood. A minuscule amount. Stop bleeding after 2 wipes. I figured it was because I was too rough and didn't use any sort of lube. Also around that time, I was masturbating maybe twice a day. Shortly after this particular instance, I start to noticed my glands were red and raise a bit and inflamed. From a distance, it looked like a rash but up close I noticed tiny bumps. As you can see from the photos the tip of the penis head starts off smooth and the texture starts to look bumpy as you go down and then smooth again. It seems the rough texture is concentrated in that specific region of the penis head. I would like to say I didn't notice it before but I hadn't looked at my penis that closely until I realized there was slight blood after I masturbated. I would also like to say I remember the penis head being smooth all the way around and don't think I had those bumps previously but at the same time I didn't examine my penis with as much scrutiny before so it may have been there previously without me noticing.  I initially thought I had balanitis because I am uncircumcised and the inflammation didn't seem to go down nor the redness and I also noticed the bumps. Also, I'm consistently in the gym so I figured the sweat would be an ideal environment for balanitis, yeast, thrush. I start using Lotrimin for jock itch. The redness has gone down and not as red as previously but I still notice the bumps. If I was to have sex or masturbate the inflammation would return but would go down. Although it's not as red as previously It's just that area always seems to be redder than the rest of the penis head. I wanted to know is this a cause for concern. I'm still using the Lotrimin cream as the directions state to use it for 2 weeks. If I pull my foreskin all the way back you can see that the area looks somewhat like a scar or an abrasion. From a distance now it seems as if the penis head is wrinkled in that region but if I pull back the foreskin and examine closer with the phone there are small bumps. The bumps are painless as well as the head of the penis, I have no discharge, it does not itch. No pus. No boils or blisters, no pain when I urinate. Other than the appearance of the penis head I feel fine. I uploaded pictures as well. The pictures are from a very close angle. I attached multiple pics from various angles. I plan on scheduling an STD check sometime this week but wanted to know if there is anything particular I should check for? Is this normal? Is this a cause for concern? Is there anything I can use to help it go down? Should I use a different cream? Anything would help. Please see link to view photos",
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/20739/girlfriend-tears,Girlfriend tears,"Whenever my girlfriend and I try getting intimate she ends up getting a painful tear near the bottom of her vagina, between the vagina and anus. I have done pretty extensive foreplay which tears it sometimes. We have also used lubrication and still she is in pain. It is very depressing for her as this only started to happen this year after almost 3 years of sex. First the area grew very swollen to the point no penetration was possible and now this. Any ideas on what it could be as her doctor has no clue.",Women's Issues
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/20085/y-dose-my-daughters-doctor-have-to-examine-her-vagina-i-mean-she-s-only-14-years-old,Y dose my daughters doctor have to examine her vagina? I mean She's only 14 years old!!,I took my daughter for her annual physical examination today! And the dr took of her underwear and did a very extensive genital exam on her! She's 14 years old,Women's Issues
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/20495/white-bumps-under-penis-head,White bumps under penis head,"I am afraid that i might have pearly penile papules,some white tiny bumps appeared under my penis head by some days since i used a pocket *** and lubricant to masturbate. I can only show with pictures so it can be described better,im scared and anxious about this.May the papules grow and increase in number? will they dissapear ?",Men's Issues
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/20057/eczema-or-std,Eczema or STD?,"I've had two rings (similar looking to ringworm) appear on my genitals, one on the head of my penis and another on the shaft. I believe I have some sort of eczema; when I was a teenager I had a patch of rings (that look exactly the same) breakout on my thigh. I also have a dry scalp and believe some of those rings may be on my scalp under my hair as well. I want to make sure these are not STD related and perhaps just a break out of my eczema.","Chlamydia , HPV/Genital Warts , Men's Issues , Gonorrhea , Genital Herpes"
Digestive Health,https://messageboards.webmd.com/health-conditions/f/digestive-health/33766/ibs,IBS,I think I may have IBS c. I have a lot of the symptoms. I've been hospitalized twice in the past and I'm treating myself now at home for the second time. I treat it the way it was treated in the hospital. I have abdominal pain and cramping. Also nausea. I take antidepressants also. I'm going to ask my doctor about it on my next appointment with him.,Irritable Bowel Syndrome
Digestive Health,https://messageboards.webmd.com/health-conditions/f/digestive-health/31254/full-of-crap,full of crap!!,"I am very bound up, I've taken 3 bottles of magnesium citrate in the past 4 days it has helped me to go a little but I still seem to be full. What can I do?","GERD and Heartburn , IBD , Crohn's Disease , Ulcers , Irritable Bowel Syndrome , Bloating , Ulcerative Colitis , Constipation"
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/2457/vaginal-tear-after-sex,Vaginal tear after sex,"Hi. This is pretty embarrassing but curious if i need to go see my Gyno. My boyfriend and I were having sex, as we normally would but I was slightly dry towards the end, which left me pretty sore the next day. It almost seemed to get worse as the day went and especially when I peed. It would burn REALLY bad, only on the actually skin that felt like it had been burned or torn. (Kind of like what a rug burn feels like, very tender to touch). Throughout the day it wasn't too bad but every time I peed that part of my skin would burn and sting, bad. At first the burning sensation was only felt if I touched it, peed or wiped, but now when I wipe there's a little bit of blood, from when I pat dry. After doing some research it seems like I have a vaginal tear from dry sex. What should I do? Will it heal on its own? I put neosporin on it the first day and the. Read that I shouldn't, if it's internal, which it is. Are there any over the counter products I should use? I prefer not to go the the doctor, unless I really have to. Thanks!",Women's Issues
Digestive Health,https://messageboards.webmd.com/health-conditions/f/digestive-health/34331/extreme-nausea-after-travel-to-uganda-please-help,Extreme Nausea After Travel to Uganda...Please Help!,"I traveled to rural Uganda back in July and contracted Malaria on the tail end of my trip. Yes, I was taking Malarone like clockwork. Yes, my clothes were coated in Permethrin. Yes, I slept under a mosquito net. It happened anyway. I took Coartem to treat the Malaria and took another general anti-parasitic upon my return. I am writing now because since my return, I have been plagued with extreme, debilitating nausea. No fever, no diarrhea, no vomiting, just nausea. I have no history of any GI problems and have only thrown up three times in the last 30 years. I went to the ER upon my return and was cleared. Since then, I have been to two GP's, a homeopathic doctor, a GI, a gyno, and an infectious disease doctor, none of whom can find the cause of this nausea. All blood tests, stool samples, and biopsies have come back normal.  Has anyone else experienced something similar? Any ideas as to what this could be? Any home remedies to try?  I'd appreciate any advice because five months later, I am truly desperate.",
Digestive Health,https://messageboards.webmd.com/health-conditions/f/digestive-health/34424/associated-pain,associated pain?,"I was curious as to why it is whenever I get a stomach ache, I also have bad shoulder and neck pain. If the stomach ache is stronger, so are the shoulder pains.",
Digestive Health,https://messageboards.webmd.com/health-conditions/f/digestive-health/33920/sharp-pain-under-front-left-rib-cage,Sharp pain under front left rib cage,I have had a constant Sharp pain under front left rib cage. And sometimes it’s just dull and it feels like there is this mass sitting under my left rib cage. I found a wart and right underneath it is where the pain is. Is that just coincidence or could the wart be causing the pain and feeling of a mass. I attached a pic.,
Digestive Health,https://messageboards.webmd.com/health-conditions/f/digestive-health/34054/rectal-bleeding-diarrhea-and-stomach-pain,"Rectal Bleeding, Diarrhea, and Stomach Pain","I am an 18 year old female and I started having stomach problems about 6 month so ago in June 2017. These problems consist of sharp stomach cramps, usually after eating, followed by diarrhea. This happens a few times a week and lasts about an hour. It has continued since then, but has improved slightly. I also sometimes have nausea instead of diarrhea. I have been to my primary care doctor multiple times and have been waiting on an appointment for GI and my appointment is scheduled for late January. In the past couple weeks I have started having rectal bleeding when I go to the bathroom. When I bled the first time, it was a normal bowel movement and was not painful. There was a lot of bright red blood in the toilet bowl and on the toilet paper I used. Every time I have had a bowel movement I have bled, sometimes more than others but every time has enough that it is concerning. I have only had diaherrea twice since it started. I went to see my primary care doctor again a couple days ago and she said I have lost 11 pounds in a little over a month, so I now weigh 106 and I am 5’6. I have not changed my diet or exercise routine, but I have noticed I don’t feel hungry often. I have always had a small, skinny body type, but I feel like I definitely eat enough. I try to eat the same even though I don’t ever feel hungry. My doctor also did an exam and said I do not have a hemorrhoid or a tear and that everything looks and feels normal other than a small skintag on the outside of the anus. The blood work she did came back normal and I will be returning a stool sample soon. She said it could possibly be Inflammatory Bowel Disease? Please let me know your thoughts! Thanks.",IBD
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/4155/cipro-caused-a-massive-blood-pressure-spike-beware,Cipro caused a massive blood pressure spike. Beware!,"My urologist prescribed Cipro for what he thought was a prostate bacteriological issue. 2 Urologists later, it turned out to be something totally different and not bacteriological at all but that's another story. 3-4 days into taking Cipro I noticed growing headaches and called the Dr. He said ""just take Advil"". When asked if Cipro may cause high Blood pressure, Dr. assured me this isn't the case.  Several days later, the Headaches became unbearable. FYI I never get headaches. I went to check my blood pressure and it was very high.  I suspended Cipro and am in the process of detoxifying now. No doubt, I'm one of many folks who suffered from dangerous blood pressure spike from Cipro. When you search online you will find that I'm not the only one. Notice, there are frequent complaints of Cipro causing severe headaches. I think most of those people don't bother to measure their blood pressure to realize that it may be caused by high BP, and just pop Advil to conceal the serious side effect.  Thanks for listening and hope this post saves lives.",High Blood Pressure
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/4150/lab-results-after-er-visit-for-sob-and-chest-pain,Lab results after er visit for sob and chest pain,I have a very high risk for heart disease and have been having persistent sob and chest pain on exertion for about a month (it can Also just happen when sitting and doing nothing). I visited ER and my O2 say never dropped and labs all looked good. I went in and looked at some of my labs they ran on the istat maxhine and I am assuming they are incorrect. If they were this low I would surely not be alive to be typing this?  My venous 02 was 17percent (normal range says 70-76)  Venous p02 was 15 and normal is 37-43,
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/4159/enlarged-heart,Enlarged heart,My husbands Grandfather had in Enlarged heart . What exactly is in Enlarged heart and is in genetic?,Heart Disease
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/4158/my-chest-heart,My chest/ heart,I have had anxeity pretty much all my life. But here lately I've been having dull shooting pains on the left side of my chest. I was just wondering if it's something I should be worried about?,
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/4156/identifying-my-problem,Identifying my problem,"I assume this is where I ask questions about my health/issues. I feel the pain in my heart so I assume it obviously has something to do with it. I can explain it all in one picture:    Every few months I undergo an ""event"" where I can only take short breaths. If I attempt at anything more than a short breath, then my heart goes through a shock pain and I literally cannot breathe past that point. The thing is, the breaths that I’m forced to take are so small that it’s virtually useless and I'm getting so little oxygen. So I have to endure the few minutes of being unable to breathe.",Heart Attack
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/4180/arrhythmia,Arrhythmia,"Having missed heartbeats can be a little scary, but only being offered blood pressure medication and medication such as Lipitor, but with no medical reasons given I researched for some time and tried Blackmore's potassium and magnesium supplement. It worked well and also helped with leg cramps. It's now very hard to find this supplement and my question is - why is potassium supplements so hard to source in Australia, but readily available in the U.K. and the U.S. Thanks",
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/4183/open-heart-surgery-complication,Open heart surgery complication,"My mom underwent CaBG 4 grafts procedure with a tissue valve replacement. She spent 8 days in hospital. After day 1 of surgery complained of popping clicking in her chest. Asked repeatedly if this was normal the entire week. Doc nurses everyone assured her what she was feeling was normal. She was not a great patient at hospital. All seemed to have went well. She could not wait to get home. Day we left hospital she was probably at pain level 10, crying. Fast forward home for 8 days, shortness of breath, major bout of diarrhea and big time coughing. Not seeing improvement. after seeing primary care doc got appt for thoracic surgeon moved up. En route to surgeon appt mom can't breathe. Straight to ER where 1400cc of fluid drained from pleural cavity. Followed up with doc on Monday only to be admitted to hospital. Upon ct found bone/cartridge. Blood culture came back with staph/epi. After 3 wound vac surgeries and debridement each time a pectoral flap was performed. Family is so confused as to how she got the staph. Doc also said another infection was present but could never give us the name. Her second stay was 19 days. Now she is in extended care and taking vancomycin and zosyn IV for a total of 13 hrs a day. Question is why did sternum separate and IV antibiotics for so long can't be good, other options?","High Blood Pressure , Heart Disease"
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/4298/weight-loss-heart-health-motivation,Weight loss/heart health/motivation,"I am a 47 year old female who grew up in house where we ate well and played a lot of sports. My parents made eating and being healthy a priority. When I turned 40, I sort of lost interest in being healthy - sounds dumb, I know. I deal with some depression issues and at the time (age 40), I was focusing on my mental health 110% and forgot my physical health. On a side note, heart issue run on my mother's side of the family, although some of the people with the issues were serious smokers. I am about 50-60 pounds overweight, but I ""get away with it"" because I have a decent-looking face, personality and sense of style. I can't seem to motivate myself. Oh, did I mention that I am addicted to diet soda? That seems to really slow me down mentally and physically and the caffeine doesn't go well with the antidepressant that I take, I believe. Can someone offer me some advice and a layman's analysis of what's going on with me and what I should do next? By the way, I'm not the most organized person, so being organized overwhelms me a little, especially in relation to getting healthy. Thanks!","Exercise , Diet , Heart Disease , Cholesterol Control"
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/4236/twisted-atrioventricular-connections,Twisted atrioventricular connections,Twisted atrioventricular connections --- My friend has the aforementioned congenital condition. I would like to ask whether pregnancy is advisable with this. And what implications are there on life expectancy. thanks in advance,"Heart Failure , Heart Attack , Heart Disease"
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/4334/know-the-signs,Know the Signs,"Do you know the symptoms of a heart attack? Learning what to do in the case of an emergency can lessen heart damage and save lives.  Nobody plans on having a heart attack. It’s best to be prepared. Click here to learn more:  If you or someone you’re with has chest discomfort or other heart attack symptoms, call 911 right away. Have you had a heart attack? Tell us your story.","Exercise , AFib , High Blood Pressure , Diet , Heart Failure , Heart Attack , Heart Disease , Cholesterol Control"
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/20427/arousal-after-sleep-orgasm,Arousal after sleep orgasm,"Hey all!  So it's pretty rare, but I had an orgasm during sleep last night that woke me up. It was pretty random. It's happened before, but for some reason, it seems the arousal won't quite settle. It was bothersome this morning and I couldn't go back to sleep, then I went to work and felt better. Heck I even started feeling normal! But as soon as I got home , it started up again, and I can't even get comfortable without feeling stimulated to the point where I feel like I have gas or have to poop. It's not constant, but the more I think/worry about it, i seem to get more stimulated. What should I do?! I wanted to wack it out (lol) but I'm worried that if I do it will make it worse. Any suggestions?",Women's Issues
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/19545/need-help-understanding-herpes,Need help understanding Herpes,So this woman in talking to turns out she has genital herpes would i get herpes if she gave me oral?,"Women's Issues , Men's Issues , Genital Herpes"
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/9122/would-my-boyfriend-get-genital-herpes,Would my boyfriend get genital herpes?,"The night before I had a sore throat; thinking I had just bad allergies, I took a decongestant allergy medicine which made me feel better. The next day, I go over to my boyfriend's, give him oral sex and we eventually have sex without a condom. After showering, I look in the mirror and noticed a very small cold sores pop up on my top lip. What's the likelihood of me giving him genital herpes? Since we had sex, is it possible to somehow give myself genital herpes as well?",Genital Herpes
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/19551/ureaplasma-urealyticum-transmission-rate,ureaplasma urealyticum Transmission Rate,"Hi There, I have a few concerns... Here is my situation: I am in a long distance relationship. While my girlfriend was away I had been unfaithful and had slept with one other woman (unprotected) a week before my GF's return home. When my gf came back I didnt feel any symptoms. However after 2 weeks or so I felt symptoms of yeast infection. However, just to be sure I went to see a doctor and got my urine tested, and Chlamydia and gonorrhea were negative. So I assumed that it was yeast and had used some cream for treatment. Over two weeks the symptoms still existed which explained to me that it wasnt yeast infection. I only had sex two times with my GF over this time period. I thought it was safe after receiving negative results from my STD tests. However since my symptoms continued I visited my doctor again and he wanted to test for Ureaplasma Urealyticum and Mycoplasma, which I was tested positive. After I had sex with my GF two times, she had symptoms of Yeast Infection. This was her first time having symptoms of this kind. As she is a nurse, she naturally thought that it was yeast infection and treated her self with over the counter cream. After 1 day of cream usage, her symptoms were gone. Here are my concerns and questions: 1. What is the transmission rate of Ureamasma Urealyticum. I did have unprotected sex two times with my girlfriend. Is the transmission rate high? 2. Is it highly likely that she is infected or was it just Yeast infection?","Women's Issues , Men's Issues"
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/19877/herpes-without-blisters,herpes without blisters?,"for the past few months i have had burning, itching, and pain in and around my vagina. I have also had lower back pain that moves to my hips and is very on and off, and sometimes only lasts for a few minutes at a time. This pain has only once went down my left leg and been in my left bum cheek (both which lasted a few minutes and never came back) all of my symptoms are inconsistent meaning some days they are there and some days they are not. Two doctors have told me it is a yeast infection, but my test came back negative. As well as all tests for BV, trich, chlamydia, etc. The only STDs i haven't been tested for are herpes and HPV. Does this sound like a case of herpes? I have read online multiple times that people can have herpes without lesions, sores, etc. but my doctors don't seem convinced. Any thoughts would really help. Btw, I have been quite sexually active in the past, but not recently.","Women's Issues , HPV/Genital Warts , Genital Herpes"
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/19461/burning-and-irritation-after-testing,burning and irritation after testing,"I went to planned parenthood 2 days ago to have them check for an STD. It was negative (I was tested for all others a couple days prior somewhere else, all negative). But since the visit I've had burning and irritation ongoing all day. Is it possible to receive something from unsanitized tools?","Chlamydia , Women's Issues , Gonorrhea , Genital Herpes"
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/19533/dirty-rose-peals,Dirty rose peals,I have a problem that I never heard other woman talk about and I am very self concious about it. I have a dirty rose petal. You know down there. I wash myself down there every day but it still look like a light black color to my rose petals. Is there anything that can be done about it safely? I feel like I can't be intimate with anyone. Thanks for any help you can give me.,Women's Issues
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/19777/herpes,Herpes,I tested positive for herpes 1 and 2. My boyfriend tested positive for Herpes 1. There is a lot of confusion as to who gave it to whom or if anyone cheated. Is it possible I had both before him and infected him with HSV1.  We are both lost as to why I have both and he has 1 which is why currently all fingers point at me because it seems I was the one infected first and passed it on to him. Thanks in advance.,"Women's Issues , HPV/Genital Warts , Men's Issues , Genital Herpes"
Sexual Health & STDs,https://messageboards.webmd.com/health-conditions/f/sexual-health-stds/13680/can-water-sports-or-water-slides-cause-permanently-damage-the-testicles,Can water sports or water slides cause permanently damage the testicles?,Generally force by water. I did a lot of water sports like jet ski or flyboard this holiday and went on crazy water slides which hit my testicles with a high force.  I didn't feel any pain though but I heard damage can occur even without pain. Hence just a general question as precaution for the future: Is there a chance you can permanently damage it through water activities?,
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/3938/fight-the-fight,Fight The Fight:,"You can pretty much name the ""Heart Issue"", and I have it: A-Fib, Hi B/P, ""Mild"" Heart Attack, Heart Failure, and I have Heart Disease... I'm on 3 meds for the heart, plus Pradaxa, a small aspirin and a Statin... Had the ""heart attack' about 18 years ago, smoked until then (40+ years of that), and was 100 pounds over-weight at one point... Lost well over 100 pounds, became a 'virtual vegetarian' (I eat a little fish 2 or 3 times a month, no other animal fat/protein), hit the gym every day, and do 100 miles a month on the treadmill - 3 miles a day or so in less than an hour per session, and probably the best shape of my life - 70 years down the road...  The plan is, right now, to not die... I fight that fight every day, all day, and I'm having a ball doing it... And, I figure if I can do it anybody can... One day at a time, just put one foot in front of the other, and tough it out... Yeah it can be hard, some days, but life is so much better now it's amazing, and therefore worth every bead of sweat - I no longer get little minor aches and pains - can't recall when that stopped - it's been a while... Life is so good I probably ought to get arrested for having such a good time... I believe I am proof that any idiot can do this... O/F","Exercise , AFib , High Blood Pressure , Diet , Heart Failure , Heart Attack , Heart Disease , Cholesterol Control"
Heart Health,https://messageboards.webmd.com/health-conditions/f/heart-health/4071/are-you-guilty-of-these-bad-habits,Are You Guilty of These Bad Habits?,"You want your heart to be strong and healthy, but are you making any of these ( ) mistakes?   They might seem small, but they could be doing real damage to your heart over time. It’s time to get back on track, and to replace those habits, with these heart-healthy habits:    Let’s all weigh-in! What bad habits are you going to kick this month?","Exercise , AFib , High Blood Pressure , Diet , Heart Failure , Heart Attack , Heart Disease , Cholesterol Control"
