disease,postLink,postHeading,postContent
Obesity,https://www.drugs.com/answers/latuda-weight-gain-lot-people-extremely-rare-gain-1079417.html,Does Latuda cause weight gain in a lot of people or is it extremely rare to gain weight?,Does Latuda cause weight gain? I hope its extremely rare to gain weight while taking this medicine. I hope the odds are in my favor to not gain any weight or have any side effects at all that would be awesome!!Just started taking Latuda after stopping Abilify because of weight gain hope I made a good choice in doing so. I thought it about time to change meds I been on Abilify for 11 years but started recently to have issues with depression and my mood. So My Psychiatrist put me on Latuda40mg so far I haven't noticed any side effects but its still too early to tell its only been three days since being on this new med. I take Latuda in the evening with a meal for Schizophrenia and Bipolar as well as for depression and to stabilize my mood also I take Lexapro at bedtime. 
Obesity,https://www.drugs.com/answers/thyroid-disease-diagnosed-underactive-thyroid-692205.html,Thyroid Disease - I was just diagnosed with an underactive thyroid?,"I have not been put on any medication yet (I am going at the end of this week for that), but I have not been able to loose weight for months. I am overweight already and from what I read synthroid makes you gain weight and that is NOT what i want or need. Is there any medicine out there theat helps with thryroid disfunction but doesn't make you gain weight? I am 23 and I was diagnosed because I was having a hard time swallowing (my thyroid is enlarged due to its malfunction) tired feeling brittle nails fogginess I can't think what else (damn fogginess) but i do have several other symptoms They did a blood test and I am just barely out of the highnormal range but since my throid is already enlarged (they did a ultrasound) and I already feel bad they don't want to let it get worse.  I am very overweight and I have been working out (and sticking to it) but its discouraging because i can't seem to loose weight or if I do, it comes right back on. I watch what I eat too. The doctor said that is part of the condition but from what I read all the thryoid medicines make you gain weight. I don't think I could handle gaining weight lol. Any advice is appreciated "
Neuralgia,https://www.drugs.com/answers/gabapentin-900mg-nerve-pain-2700544.html,Gabapentin 900mg nerve pain?,"I have been suffering with a burning pain ( not migraine like , it feels like acid) in my head for about four months, as well as neck pain which had made my neck very unstable and I have to use pillows in the car to prop it up and also sciatic pain, my gp believes it is to do with a car accident I had over a year ago, I never had any of these problems when the accident occurred, I have tried analgesics such as panadeone, tramadol but they do not help at just make me tired ,diazepam general antiinflammatories, aspirin, endep, beta histamine, stemetil, nortryptyline, lyrica and now gabapenton 300mg three times a day, I feel completely high all day and I have been taking them for 5 days now and I am not sure if it is helping, or just the fact that I am so high I can't feel the pain as much, when it wears off it is back to 8/10 pain , I want to get back to work and have the ability to look after my three year old easier and play with her but at the moment I can't see anything positive happening anytime soon my gp has said if gabapentin doesn't work he is out of ideas medication wise? Should I persist with the medication, I am also going to a Physio twice a week, have tried a chiropractor, reflexology, Chinese medicine, osteopath, just tried cupping and acupuncture a few days ago( still hoping for a positive effect) my MRI if my neck showed a few slightly bulging disks, I have not hade one of my lower back not sure if I should ask gp to look at doing this, any advice would be great I am used to being an independent person and this pain is taking my life away from me! "
Migraine Prevention,https://www.drugs.com/answers/alcohol-safe-nortriptyline-673829.html,How much alcohol is safe with Nortriptyline?,I know it is not suggested but I have been hesitant to drink anything while on this medicine. I'm going out with friends next weekend and would love to have a drink or two at dinner. Anyone who's taking this medicine I'd love to know your experience. Thanks! 
Allergic Reactions,https://www.drugs.com/answers/prescription-10mg-prednisone-4-3-days-3-3-day2-3-3365236.html,I have a prescription of 10mg prednisone 4 for 3 days.3 for 3 day2 for 3 day.1 for 3- how 2 take?,
Migraine Prevention,https://www.drugs.com/answers/can-i-quit-topiramate-cold-turkey-328408.html,Can I quit Topiramate cold turkey?,I am only taking 25 mg. and I have only been taking it for 5 days. I am having several very unpleasant side effects already and don't want to continue with this medicine. Do I have to taper off? 
Vomiting,https://www.drugs.com/answers/vomiting-occurs-uti-3268090.html,Why vomiting occurs during UTI ?,Plz answer 
Opiate Dependence,https://www.drugs.com/answers/does-suboxone-interact-with-tramadol-or-ultram-510774.html,Does suboxone interact with Tramadol (or Ultram)?,I've been taking suboxone for 2 months and was prescribed Tramadol ER for pain. Will the suboxone cause problems for me or cut down the effectivess of the medication if I take the Tramadol ER? 
Opiate Withdrawal,https://www.drugs.com/answers/withdrawl-symptoms-adderall-571305.html,What are the withdrawl symptoms with adderall?,My daughter is currently going through a severe withdrawl episode after becoming ill with pnuemonia. She has been using adderall for some years. 
Migraine Prevention,https://www.drugs.com/answers/can-i-continue-nursing-while-taking-elavil-for-412963.html,Can I continue nursing while taking elavil for migraines?,I only nurse my 11 month old baby at night and have horrible migraines and cluster headaches but not ready to fully stop nursing. Sounds like a no brainer I know but she's my last baby and idk... 
Migraine Prevention,https://www.drugs.com/answers/i-am-23-years-old-and-have-arthritis-in-my-lower-334672.html,"I am 23 years old and have Arthritis in my lower spine, knee and ankle along with muscular?","dystrophy and myofascial pain. I currently take 100mg of Nucynta 3x daily and it just isn't helping at all with the pain. Im also on zanaflex, adderall, and klonopin, any suggestions??? My muscles lock up and get so stiff i can't sit straight, some days I can't walk at all, I can't play with my 3 year old. Sometimes my muscles get so bad it numbs and leaves half my whole body limp. Nothing is releasing my pain, I get migraines and im angry all the time from this. I need advice plus im only 23. "
Opiate Dependence,https://www.drugs.com/answers/warning-about-suboxone-subutex-and-stadol-352742.html,"Warning about Suboxone, Subutex, and Stadol?","I've been on rather high levels of opiate pain medication for years. All are now prescribed by a legitimate Neurologist/Pain specialist, although in the past I've had a doctor with questionable morals, motives, and knowledge. Anyhow, I've always done my best to be very informed about these drugs, and since I've actually gotten off them a few times over the years, (trying to live without being a slave to medication, which didn't work) I've done a lot of research (especially after a recent episode) on Suboxone, and Subutex, which is the Bupenorphine just like Suboxone, but without the Naloxone, the ""blocker"". Well I once took a Subutex, (straight Bupenorphine) before coming off of the other drugs in my system (Fentanyl and Oxycodone). I was thrown into the worst withdrawl of my life, with insanely intense vomiting, diahrea, shaking, kicking, and cold sweats. I looked like I had been beat up, and had two black eyes when I was done because the vomitinig was so intense I burst all the blood vesels around my eyes, and on my face. I and nearly called 911 because I couldn't crawl to my car to drive to the ER. After doing my research I saw that Bupenorphine, and other drugs like it, like Butorphanol the active ingredient in Stadol, have such a strong binding affinity with the opiate receptors, that if you're still on high doses of other opiates, it will literally rip it off of the receptors, and block the receptors from recieving the drugs in your system, and as I mention, induce percipitated withdrawl. Moral of the story is, just because your opiate tolerance is high, it doesn't make all other opiates safe, in fact the WORST thing you could do is take SMALL doses of these other opiates, because they will replace and block whats already attached to your receptors, without giving you enough to supplement the required level to keep you out of withdrawl. In retrospect, had I taken more Subutex, I probably would have been OK, but at that moment, that was the last thing I was thinking I should do. So be careful, we all know what Suboxone can do if you take it too early, but Subutex can do it too, and so can Stadol! I had a similar experience with Stadol years ago, and just recently after this event with Bupenorphine did I realize what had happened to me. I had thought that maybe it had caused overdose since I was one high levels of other opiates, but that seemed unlikely, but was the only explanation I had for feeling so sick. Only now do I realize that was my first experience with rapidly induced withdrawl. Just be careful, and do research ON EVERYTHING before you take it, and make sure you consider all the variables of your own situation. Just because one drug worked for someone else, doesn't mean your situation is the same. I've seen too many people who have had Suboxone work for them, then reccomend someone else getting on it, WAY too soon. If you're not in withdrawl already before you get on it, it will send you there so quickly, and violently that you'll do ANYTHING to make it stop, and same goes for Subutex. That's my rant, I hope that maybe someone reads this, and it keeps them from making the same mistake I did. I wonder if anyone else here has already had a similar experience? "
Obesity,https://www.drugs.com/answers/thyroid-disease-thyroid-medication-weight-gain-539869.html,Thyroid Disease - Is there any thyroid medication that doesn't cause weight gain? I've been on?,... Synthroid for 6 years. I went from 140 to 165 after taking the medicine. I have been off of it for a few months now and I have gone down to 152 and am terrified of gaining that weight back. It is IMPOSSIBLE to loose. I went to the doctor today to get my levels checked again and I'm sure I will need to get back on my prescription. Are there any other suggestions medicine wise? 
Opiate Withdrawal,https://www.drugs.com/answers/opiate-withdrawal-well-today-is-my-first-day-62932.html,Opiate Withdrawal - Well today Is my first day without methadone!! Yeah I am so excited to get off?,... this crap I know what I am in for so I don't need to hear about how much pain I will feel... I have come off of methadone before and oxys and heroin and I know all about opiate withdrawl this time is different I am not in jail or an institution or a rehab I am doing this at home with the help of my long suffering parents and many other close good sober friends and my sponsor. I am going to the gym now to start sweating out that crap and will sit in the steam room. I have all my amino acids and b vitamins and I have a script for some xanax and some donnatal for the runs. I have a plan for the first time and am going to take back control of myself. Any support or advice from any of you would be great. I have a COWS sheet as suggested by Robert and I am ready willing and able! God bless you all. 
Allergic Reactions,https://www.drugs.com/answers/allergic-penicillin-amoxicillin-3404089.html,I am allergic to penicillin and I took amoxicillin. Will I be OK?,
Vomiting,https://www.drugs.com/answers/can-beer-be-drank-when-you-are-on-prescription-268437.html,"Can beer be drank when you are on prescription medicines such as tramadol, phenergan, & klonopin?","I am currently prescribed phenergan(for relief of nausea & vomiting), tramadol(for migraines), and klonopin(for severe panic/anxiety attacks & issues). I do not ever drink so I don't know if it's safe to have 1 or 2 cans of beer. Any feedback would be great! Thanks! "
Vomiting,https://www.drugs.com/answers/effexor-xr-missed-couple-days-taking-venlafaxine-3431138.html,Effexor XR - I missed a couple days taking my venlafaxine 150mg?,"... and am experiencing extreme nausea, vomiting, dizziness, and fatigue. I have not been able to keep any food down in the past day. Are these symptoms of withdrawal? Does anyone know a way to make it better until I refill my prescription? "
Opiate Dependence,https://www.drugs.com/answers/is-it-common-for-suboxone-to-cause-side-effects-56225.html,Is it common for Suboxone to cause side effects that include severe abdominal cramping?,"I have been on and off suboxone for the last two years. The longest I took it was for two months. The first time the doctor put me on suboxone I stayed on it for two months. I experienced stomach problems including constipation and abdominal cramping and pain. Even after discontinuing it I had these symptoms. I never really put two and two together-- that the suboxone could be causing the stomach problems until recently. I seemed to always go back to using after being on suboxone for a while. Once i was using herion again my stomach issues would start to slowly dissapear over several weeks to a month. I began suboxone another time after this and continued taking it for 6 weeks. My stomach cramping and pain started again after being on it for 2 weeks (once i was past the opiate detox). They tapered me off suboxone and I was clean for about 7 months. Even after I quit taking the suboxone, I continued to have stomach problems for several months. At about 6 months clean (4 months after stopping suboxone), I slowly started to see a little improvement in the severity of my stomach and abdomen pain. The last time I was clean for 3 or 4 months (after using for close to 9 months to a year) I took the suboxone only to detox and I had stomach problems after a few days of suboxone. This time the stomach problems seemed to go away faster and only lasted a month or two after taking suboxone for a week. After about two months of being clean the pain and cramping seemed to become less and less. But i started using again and now i want to stop. I have taken suboxone to detox but only taken quaters to a half for a dose. But i keep relapsing and then detoxing- i even tapered my use to get off the herion instead of suboxone and found that i had no stomach issues when doing that (but only did that once). And the stomach pain hasn't come back yet so I am thinking it is related to taking suboxone. 8mg two times a day was my dose while on it. Now my doctor wants me back on suboxone and i need to stop using but i am scared i will go through the stomach pain and cramping again if i get on it- then i will end up relapsing for sure and have more stomach problems. Does anyone know if the suboxone could be causing my stomach pain and abdominal cramping? "
Obesity,https://www.drugs.com/answers/is-there-an-alternative-to-taking-naproxen-500-i-516313.html,Is there an alternative to taking naproxen 500? I have gained 40 lbs since started meds?,I am taking a number of meds on a daily basis and have checked all of them out and the only one that has been consistant from the weight gain started is naproxen 500. I also have heartburn all day long. I am getting married in July already bought my dress a while ago and can't fit into it any more. Pretty upset about that. Any help will be appreciated. 
Opiate Withdrawal,https://www.drugs.com/answers/can-you-ween-yourself-of-norco-443619.html,Can you ween yourself of norco?,I've been taking 2 to 4 norco 10/325 a day for about 4 months and had just detoxed from methadone three weeks prior to getting this script for herniated discs in my back. I know what its like to withdrawn from methadone and I don't want to go through that again. My question is can you decrease dose daily until its out of your system? I don't want to be on opiates anymore and was hoping for a solution better than cold turkey. Im only 27 and can't live like this any more. Any help would be much appreciated. 
Opiate Withdrawal,https://www.drugs.com/answers/day-3-suboxone-and-still-feel-like-crap-please-442298.html,Day 3 suboxone and still feel like crap please help!?,hubby and i was on methadone 4 yrs... the last few months we been shooting fent and taking m done sometimes... anyways we get on subs... the doc wants to give me 8mg then 8mg i argue so i get 2 and 2 nd hubby gets 8 and 8... the first 8 hubby goes into sever pcip wd.. so they make him take another 8mg... i take my 4mg and we r told go home come back tomorro... we go back the next day the doc says u (me) take 8mg a day and gives my husband 20mg we get to the pharmacy where i say there is no way in heck he is taking that so we settle with 12mg... we both still feel sick tho i dont get it... my back hurts so badly and i was nautious most of the day.. thats gone now but my back hurts so bad... will i ever feel normal?? will we ever feel normal? 
Opiate Withdrawal,https://www.drugs.com/answers/long-term-methadone-use-muscle-spasms-once-433178.html,"Long term methadone use, muscle spasms once withdrawn lasting 7+months?","I have a brother who had a major accident occur and has been treated with methadone for over eleven years. He has recently gotten off the drug and it has been almost 7 months since he has taken any. However, he is faced with horrible muscle spasms throughout the day and night and cannot get any relief. The doctors are constantly giving him new muscle relaxers and percocet and he has tried other options as well for relief (acupuncture, pot, herbal supplements, etc... ). NOTHING has helped to relive the symptoms entirely. He has finally resorted to taking one or two very small doses of methadone a week just to give himself a break from the spasms- so he can endure them the rest of the week. The doctors (possibly encouraged by Workman's Comp) have suggested this is not related to the methadone use. My question is if there are any other people out there with this same problem? Has other long-term methadone users experienced muscle spasms lasting up to or beyond a year? Also, if so, how were you treated? Did it work?! I sincerely want the best for him and would love any advice. He feels very much alone in this particular situation due to the length of time these symptoms have persisted. Thanks! "
Opiate Withdrawal,https://www.drugs.com/answers/is-cold-turkey-withdrawal-from-vicodin-physically-307777.html,Is cold turkey withdrawal from Vicodin physically dangerous?,"Greetings, I have been taking 2-4 Vicodin HP for the last three years. Doctor prescribed, never at work, but the pain due to arthritis and various surgeries’ is, well, a pain. For a variety of reasons, I have decided to stop the medication and re-asses the pain level. I did about a month of research prior to stopping the meds and used the Thomas recipe (without the prescription stuff). I stopped eight days ago and from what I have read about withdrawal consider myself fortunate as aside from a headache (which is now gone), one day of diarrhea, (fixed with Imodium) and very light insomnia and RLS, I feel great. God is good to me. So here is my (after the fact) question: Is cold turkey detox from Vicodin “physically” damaging? I’ve read all the relapse overdose stuff but I still have the Vicodin sitting on a shelf, I look at it every day and I just leave it sitting there. I have seen sites listing results from cold turkey ranging from psychosis to death….. Then I find they are selling a detox program so they have a dog in the fight to deter people from going cold turkey. I’m interested in your opinions. If possible, I would like medically substantiated (provide links if possible) research. Like I said above, this is an after the fact “fact finding” mission, but as an information junkie, I just want to know. Thank you in advance to all. Jbird51 "
Opiate Dependence,https://www.drugs.com/answers/do-you-have-to-wait-between-when-switching-from-464554.html,Do you have to wait between when switching from Subutex to Suboxone?,"I am currently taking Subutex, I want to switch to Suboxone. Does anyone know if you have to wait a couple days after your last Subutex dose before you start taking the Suboxone? Or can I just go from the Subutex straight to taking the Suboxone? "
Vomiting,https://www.drugs.com/answers/cancer-recently-relapsed-leukemia-started-546516.html,Cancer - Recently relapsed with my leukemia. I have started vomiting blood. I have never done this?,"... before and it is quite frightening. My doctors are running tests, but they may take a while to get the results. If anyone on here has any advice or ideas as to what this could mean. That would be awesome. Thank you and God bless "
Opiate Withdrawal,https://www.drugs.com/answers/withdrawal-from-norco-10-325-while-pregnant-351018.html,Withdrawal from norco 10/325 while pregnant?,can you go cold turkey? What's the best way to w/d without taking methadone? At most I take 2-3 a day usually 3 but not more. I'm not taking anything else either. Any constructive advice would be appreciated. Thanks 
Opiate Withdrawal,https://www.drugs.com/answers/does-suboxone-give-you-the-same-feeling-as-286603.html,Does suboxone give you the same feeling as methadone?,"I'm on 10-20 mgs. of methadone a day. I thought about suboxone but I went 3 days w/o and a buddy gave me asuboxone 8mg. I put it under my tongue, but I never really felt any better. Did I not take enough? Did I take too much? I was told that I needed to take it for a few days straight b4 I'd notice anything. Any help or advice would be appreciated. "
Muscle Pain,https://www.drugs.com/answers/what-to-transfer-to-that-compares-to-fentanyl-346303.html,What to transfer to that compares to Fentanyl patch 150 mcg?,"A friend of mine has to go off the Fentanyl patch 150 mcgs as her insurance company will no longer cover more than 3 boxes a month. There is no way to get 150 mcgs at less than 4 boxes (changing patches every 3 days). She was changing every two days, which is 6 boxes a month. We meet with her pain specialist on Wed. to explore her options. What would be comparable pain medications for her, and at what dose? She's been living with chronic pain for about 15 years now, and was doing well on the fentanyl patch with Oxycodone 5 mg for breakthrough pain (she's been on the patch for 10 years now). Thanks for your comments! "
Opiate Withdrawal,https://www.drugs.com/answers/methadone-withdrawal-using-ultram-safely-319817.html,Methadone withdrawal using ultram? Safely?,I have been on methadone for 2 years and have been taking ultram for a week. I have weaned down to about 20mg for the last few months. I now am taking about 3 to 4 50mg of ultram. How long can I take ultram before being addicted to ultram. allso how long will the severe withdrawal symptions last. I have 2 kids and cant take off work or I will lose my job Im in a bad place what should I do??? 
Opiate Withdrawal,https://www.drugs.com/answers/restless-legs-syndrome-buspirone-rls-2978762.html,Restless Legs Syndrome - will buspirone help with rls?,
Opiate Dependence,https://www.drugs.com/answers/i-screwed-up-my-suboxone-film-when-it-put-it-379792.html,I screwed up my suboxone film when It put it under my tongue?,"Ok, so my mouth isn't as big as everybody else's. I have trouble with the films but have to get them (cause of the $75 off coupon). When I put the strip in and put my tongue down, it was halfway on the side of my tongue. When I tried to push it over, half of it stuck to my fingernail. I rubbed that on the tip of my tongue underneath. Anyway, I'm pretty sure the whole dose didn't get disolved under my tongue, infact found a tiny bit stuck in my tooth. So, am I screwed for the night? OR since it still all got in my mouth and I didn't swallow any undissolved strip should it be ok? Anyone else ever done this? "
Osteoarthritis,https://www.drugs.com/answers/taking-lyrica-weight-gain-lyrica-6-years-feel-3160435.html,Does taking yrica cause weight gain? I have been on lyrica for 6 years and feel it is contributing?,I have been taking Lyrica for 6years and my Dr has increased my dosage to 225mg twice daily. I suffer from FMS and osteoarthritis and osteoporosis and chronic fatigue. I also take 120mg Cymbalta and wonder if this drug can cause weight gain. I dont sleep much at night and i am always tired and in pain. I am 57yrs of age and no longer work due to health problems. 
Migraine Prevention,https://www.drugs.com/answers/200mg-topiramate-daily-barely-eat-losing-weight-2766782.html,"200mg topiramate daily. Barely eat anything, yet am not losing weight. When will weight loss begin?","I take 200mg topiramate daily, 100mg in the morning and 100mg at night. I restarted this medication about a month ago. I barely eat, because I do not have much of an appetite and am just generally not hungry. I have weight too lose, about 15-25 pounds. I took this medication about 1-2 years ago for chronic migraines and lost 40 pounds then stopped it, regained 20 pounds migraines stated again, and began the medication again. I want to know if my body is just adjusting to not eating as much and the medication? Will I eventually lose the weight? Is my body adjusting? Any advice? Any information would be helpful! "
Opiate Dependence,https://www.drugs.com/answers/can-you-take-subutex-or-suboxone-while-pregnant-136244.html,Can you take Subutex or Suboxone while pregnant?,"I'm currently taking 20 mgs of suboxone now, and my doctor told me he does not prescribe subutex and would refer me out to another doctor to do so. I wonder why? "
Muscle Pain,https://www.drugs.com/answers/meloxicam-allergic-aspirin-means-ibproufon-aleve-3052448.html,"Meloxicam - I am allergic to aspirin, which means I can not take ibproufon, aleve, advil etc... Can?",... I take? 
Abnormal Uterine Bleeding,https://www.drugs.com/answers/irregular-light-bleeding-depo-shot-3383729.html,Irregular but light bleeding on depo shot?,"I had my first shot in December and then didn’t get my period after a few weeks and it lasted 7 days. I got my period this time on Feb 3 and it was very light but it has been going on for 10 days , it’s light, then it turns into spotting/brown discharge and then light period again. Anyone been through this is recommend any advice? I’m getting very paranoid "
Opiate Withdrawal,https://www.drugs.com/answers/daily-dose-mathadone-today-5-mins-vomited-wwhat-3006271.html,"I took my daily dose of mathadone today not even 5 mins later I vomited it all up,wwhat can I do?","Im 26 and got dosed walked to my car and before opening the car door vomited everything up :( i had not eating anything by that time yet so it only a mathadone colourful water came out then yellow stuff , can i be half dosed later today or anything :( i dont feel well at all n.s.w australia "
Opiate Withdrawal,https://www.drugs.com/answers/opiate-withdrawal-hi-im-new-year-and-after-six-427706.html,"Opiate Withdrawal - Hi I'm new year and after six months of being on vicodin, lorcet, and norco I'm?",... quitting cold turkey tonight. I'm sick of this addiction. My question is I took my last dose at 11:30 a.m. today and need some advice asap of when I can take the suboxene. I was taking about 8 to 10 pain pills a day. I didn't know if my weight would affect the amount of suboxene I should take... I have the 8 mg strips and weigh 115 lbs. I already have to body aches and sweats but want to make sure I don't put myself through precipitated withdrawals. Any advice would be greatly appreciated. I'm nervous and scared as I have never had an addiction but had so many medical problems up until my surgery 3 weeks ago that I became dependent on them. Thanks for listening 
Opiate Withdrawal,https://www.drugs.com/answers/can-i-take-vicodin-to-help-w-suboxone-withdrawals-216277.html,Can I take vicodin to help w/ suboxone withdrawals until I go back on methadone?,"I was on methadone for 2 years & did well on it. My parents & my boyfriend begged me to go on suboxone so I did & it worked alright at first but now 2 years later I hate it, it's not working anymore, & it's way too expensive. When I first went on suboxone a few other family members were getting it too & they would give me as much as I wanted, so I took them constantly. I probably took 4 to 7 a day no joke! Now insurance won't pay for it anymore and they got kicked off so I've been taking my regular dose for about 2 months which is 16mg a day & it's not cutting it. I'm going back on methadone, I'm so over this suboxone. The only reason it worked in the beggining is because I took them & took them until I made it work & I can't do that anymore. I want the suboxone to be out of my system before I go on methadone so my question is can I take vicodin to help with withdrawal until I go to the clinic? If you're going to give me a lecture about how bad methadone is or how I should get off of everything or whatever then please don't comment. I've heard it all before & could really care less to hear it again because nobody is changing my mind so don't waste your time. I'm not trying to be mean I just don't want to hear it. So for those who give me helpful advice or any advice at all I appreciate it very much. Thank you!!! "
